Godina_od,Godina_do,Zbirka,Podzbirka,Pesna_Ime,Pesna_eng,V_mean,A_mean,D_mean,Neutral_word_ratio,Positive_word_ratio,Negative_word_ratio,Anger_word_ratio,Anger_mean_intensity,Anticipation_word_ratio,Anticipation_mean_intensity,Disgust_word_ration,Disgust_mean_intensity,Fear_word_ratio,Fear_mean_intensity,Joy_word_ratio,Joy_mean_intensity,Sadness_word_ratio,Sadness_mean_intensity,Surprise_word_ratio,Surprise_mean_intensity,Trust_word_ratio,Trust_mean_intensity
1941,1945,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945),ПЕСНА ЗА ЖИВОТОТ,"A SONG FOR LIFE
How the dogs barked,
how muddy -
everything bothers me now
in the dark fiery.
Bloody weather
you are everything
naked, tortured carcass!
With a hammer one by one
baboon heads break ...
And-and-and-and!
Breathless
we are coming forward,
we do not give up,
eager
we will bite!",0.44364705882352945,0.5239411764705882,0.44841176470588234,0.17647058823529413,0.11764705882352941,0.23529411764705882,0.0,0.0,0.11764705882352941,0.6875,0.17647058823529413,0.502,0.058823529411764705,0.672,0.11764705882352941,0.297,0.11764705882352941,0.599,0.11764705882352941,0.4335,0.058823529411764705,0.539
1941,1945,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945),КАМБАНИ,"BELLS
In vain a neighbor asked
heart eager, eager ...
I go somewhere alone
heard in a dark noise.
It's embarrassing for someone
to think of each other,
for each other to find
the most honest, kind word.
Everything irreversibly died,
just what I dreamed -
only insult was left,
to the heart bitter sorrow.

",0.4783500000000001,0.50975,0.44155000000000005,0.1,0.3,0.2,0.1,0.345,0.15,0.5883333333333334,0.1,0.224,0.1,0.19549999999999998,0.3,0.48233333333333334,0.3,0.5735,0.15,0.4503333333333333,0.3,0.5938333333333333
1941,1945,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945),НОЌНА ПЕСНА,"NIGHT SONG
I want to go alone,
strange night welcomes me,
showers me with stars,
murmur moonlight,
makes me drunk,
deep thought, hidden thought
from the chest rises.
And I raise my eyes - a strange song echoed,
the night swallows me.
To be here! Not an hour here,
stellar eternity passes.
To be here -
of all I will make you the most beautiful!
I do not want to see, I do not want to know,
just let the song carry me,
to surround me!
The sky is dark blue,
everything whispers, crickets, whispers,
a sad memory caresses me.
That I think of you the most in the world,
and you do not want me - sorry suffocates me,
unfortunately everything is deafening.

",0.5927674418604651,0.4541627906976744,0.47846511627906974,0.32558139534883723,0.09302325581395349,0.046511627906976744,0.0,0.0,0.06976744186046512,0.4243333333333333,0.0,0.0,0.0,0.0,0.046511627906976744,0.5725,0.13953488372093023,0.5636666666666666,0.046511627906976744,0.477,0.0,0.0
1941,1945,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945),РАЗДЕЛБА,"DIVISION
We are given a day to love
and again to be sad at parting,
and again we say to ourselves: do not forget me! -
and we may never see each other.
The road will be blocked by a downed bridge,
road will hinder us burnt city,
the bullet in the forehead will block our way.
We could be sad again,
and again we say to ourselves: do not forget me! -
and we may never see each other.",0.5069130434782607,0.3958260869565217,0.38617391304347815,0.34782608695652173,0.043478260869565216,0.13043478260869565,0.0,0.0,0.0,0.0,0.043478260869565216,0.531,0.0,0.0,0.043478260869565216,0.828,0.13043478260869565,0.6876666666666665,0.0,0.0,0.043478260869565216,0.758
1941,1945,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945),ЗАКОПНА ПЕСНА,"BURIAL SONG
Goodbye old woman! ... You's me
all my life a child knew me ...
Sadly now eyelid eyelid,
a stretcher goes through our village.
I will not come, I did not shed a tear, I am not sorry,
day by day the days hid us ...
And once of you, a child smirked, a little bud,
I heard the first story about the buds.
Goodbye! Rest in a harsh land ...
You will not be startled at night by sorrow,
you will neither hear nor see
bloody wound of son's strength ...",0.542925925925926,0.4425555555555556,0.4567407407407408,0.2962962962962963,0.14814814814814814,0.14814814814814814,0.07407407407407407,0.7085,0.07407407407407407,0.523,0.037037037037037035,0.555,0.14814814814814814,0.5255000000000001,0.14814814814814814,0.452,0.18518518518518517,0.6644,0.0,0.0,0.037037037037037035,0.656
1941,1945,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945),СТАРАТА,"THE OLD
The old one stops at the dark gate, -
she is not listened to, she is scared,
everything seems to her - someone is making fun of her.
The old one stops at the dark gate, -
can not be seen, bends to the rug early:
in a dream from afar with the dead he cries out.",0.45526666666666665,0.3784,0.36513333333333337,0.2,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.562,0.0,0.0,0.06666666666666667,0.734,0.13333333333333333,0.636,0.13333333333333333,0.545,0.0,0.0,0.13333333333333333,0.414
1941,1945,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945),ПЕСНАТА ЗА ЗАТВОРНИЦАТА,"THE SONG ABOUT THE PRISONER
A dark cry wakes me up,
again the terrible hour came.
Here things, souls, cold,
and I lie helpless.
The night time is fatal again -
someone giggles on the porch,
and with nails hand grave
from the walls scratching dumb.
Oj for flower dreams young:
not to be a slave anymore,
and for new love in the breast
you threw me here in the grave!
Why still, dark shadow,
in a certain hour you go,
from a dream hope to take me
for freedom and for salvation?
Silently tramples evil midnight,
someone choked on the porch,
and with nails hand grave
from the walls scratching dumb.",0.49702499999999994,0.4450000000000001,0.431725,0.25,0.125,0.325,0.125,0.6212,0.1,0.5860000000000001,0.075,0.5883333333333334,0.2,0.625375,0.2,0.554375,0.325,0.6428461538461538,0.05,0.2655,0.1,0.6817500000000001
1945,1945,MOSTOT (1945) ПOЕМА,MOSTOT (1945) ПOЕМА,1,"1.
When from the country tedious
the pagan German retreated,
he, in malice sandy gloomy,
wreak havoc and fire.
The tyrant has been with us for a long time
sowed horror and sorrow -
behind their heels filthy
left a bloody trail.
But the angry trouble passed,
and desolation where he lay,
labor rose,
people tightened:
Roads are being built, railways are being made,
smoke tunnels -
rails are placed,
squeaks a busy lever!
And already at dawn
with smoke and sparks
starts
the first train.

",0.35863636363636364,0.5286666666666666,0.47733333333333317,0.36363636363636365,0.06060606060606061,0.36363636363636365,0.21212121212121213,0.7617142857142857,0.12121212121212122,0.4435,0.15151515151515152,0.6376000000000001,0.24242424242424243,0.685375,0.06060606060606061,0.2195,0.18181818181818182,0.7281666666666666,0.09090909090909091,0.4113333333333334,0.06060606060606061,0.4335
1945,1945,MOSTOT (1945) ПOЕМА,MOSTOT (1945) ПOЕМА,2,"2.
And just when the sun-beech
ripped on the mountain,
suddenly,
the statue,
lush,
get excited
through a dark tunnel
the machine!
Stop for an hour,
core,
closed his eyes
struck by light.
He buried illegally,
fitted,
boil,
frkna,
and forward run,
down jump jumped,
he roared with joy,
crashed in the field,
breaks the rails,
stormy
cuts the curves,
tense chest,
width grab,
compacts,
body,
fly,
wave
Divorce the mane!
Go ahead, go ahead!
There is no end to the flight!
The country is going crazy,
clear the field,
shoots a distant sight,
the sun shines.
A plain spreads and there silver
the river snake is pouring!
The sting machine is on it now,
to go there,
to trample it,
to tear it up!
Go ahead, go ahead!
And everything is closer,
and already loud iron, strong shout!
Forward!
One more moment! ...
But suddenly
stop ...
Sore muscles,
pisna,
like a horse
in the race
over ruin
on two legs
accused!",0.5375000000000001,0.5064285714285715,0.527557142857143,0.38571428571428573,0.17142857142857143,0.14285714285714285,0.07142857142857142,0.5818,0.04285714285714286,0.5596666666666666,0.04285714285714286,0.414,0.11428571428571428,0.539625,0.1,0.4862857142857142,0.08571428571428572,0.5061666666666668,0.07142857142857142,0.6188,0.11428571428571428,0.41300000000000003
1945,1945,MOSTOT (1945) ПOЕМА,MOSTOT (1945) ПOЕМА,3,"3.
Like a broken spine
lying on the water bridge,
the wave is silent and mournful
flat iron bones.",0.419090909090909,0.37263636363636365,0.40509090909090906,0.5454545454545454,0.18181818181818182,0.36363636363636365,0.36363636363636365,0.31074999999999997,0.0,0.0,0.09090909090909091,0.531,0.18181818181818182,0.445,0.0,0.0,0.18181818181818182,0.7030000000000001,0.0,0.0,0.09090909090909091,0.398
