Godina_od,Godina_do,Zbirka,Podzbirka,Pesna_Ime,Pesna_mk,V_mean,A_mean,D_mean,Neutral_word_ratio,Positive_word_ratio,Negative_word_ratio,Anger_word_ratio,Anger_mean_intensity,Anticipation_word_ratio,Anticipation_mean_intensity,Disgust_word_ration,Disgust_mean_intensity,Fear_word_ratio,Fear_mean_intensity,Joy_word_ratio,Joy_mean_intensity,Sadness_word_ratio,Sadness_mean_intensity,Surprise_word_ratio,Surprise_mean_intensity,Trust_word_ratio,Trust_mean_intensity
1941,1945,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945),ПЕСНА ЗА ЖИВОТОТ,"ПЕСНА ЗА ЖИВОТОТ
Како лаеле пците,
како било кално –
сето ме наваса сега
во темничиштево пално.
Крваво време
сето си
гола, измачена мрша!
Со чекан една по една
глави бабуњави кршат...
И-и-и-и!
Задишени
напред вјасаме,
не се даваме,
настрвени
ќе касаме!",0.469375,0.5363749999999999,0.528625,0.75,0.125,0.125,0.0,0.0,0.25,0.4455,0.125,0.516,0.125,0.578,0.25,0.3745,0.25,0.6,0.125,0.086,0.25,0.4335
1941,1945,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945),КАМБАНИ,"КАМБАНИ
Попусто ближен бараше
срцето желно, прежелно...
Самотник одам некаде
заслушан в темен шум.
Срамотно му е некому
еденздруг да се смислиме,
еден за друг да најдеме
најискрен, добор збор.
Загина сешто невратно,
самотно што сум сонувал –
остана само навреда,
на срце горок жал.",0.5525833333333334,0.4915,0.5030833333333332,0.5,0.08333333333333333,0.08333333333333333,0.25,0.31666666666666665,0.16666666666666666,0.5585,0.08333333333333333,0.393,0.25,0.18299999999999997,0.16666666666666666,0.469,0.4166666666666667,0.5536000000000001,0.08333333333333333,0.531,0.08333333333333333,0.477
1941,1945,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945),НОЌНА ПЕСНА,"НОЌНА ПЕСНА
Јас сакам сам да одам,
чудно ноќта ме пречекува,
со ѕвезди ме опсипува,
жуберка месечинска светлина,
ме опијанува,
длабока мисла, скриена мисла
од гради станува.
И кревам очи – чудна песна екна,
ноќта ме усинува.
Да бидеш тука! Тука не час,
ѕвездена вечност поминува.
Да бидеш тука –
од сите ќе те сторам најубава!
Нејќам да видам, нејќам да знам,
песната само нека ме носи,
да ме окрилува!
Се лула небо темносино,
сешто шепина, штурка, пригласува,
жален спомен ме милува.
Дека ти мислам најарно на светов,
а ти ме нејќеш – жал ме задушува,
жал сè заглушува.",0.5473548387096774,0.48148387096774187,0.49151612903225805,0.25806451612903225,0.0967741935483871,0.12903225806451613,0.16129032258064516,0.4488,0.3225806451612903,0.4429,0.0967741935483871,0.521,0.1935483870967742,0.26316666666666666,0.22580645161290322,0.46228571428571424,0.3225806451612903,0.44210000000000005,0.1935483870967742,0.44916666666666666,0.22580645161290322,0.45314285714285724
1941,1945,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945),РАЗДЕЛБА,"РАЗДЕЛБА
Нам ни е дадено за ден да сакаме
и пак на разделба тажни да бидеме,
и пак си велиме: не заборавај ме! –
а може никогаш да не се видиме.
Пат ќе ни препречат мостој соборени,
пат ќе ни препречат градој изгорени,
пат ќе ни препречи куршумот в чело.
И пак сме можеле тажни да бидеме,
и пак си велиме: не заборавај ме! –
а може никогаш да не се видиме.",0.5233125000000001,0.4313125,0.4721875000000001,0.375,0.0,0.1875,0.1875,0.3396666666666666,0.375,0.47666666666666674,0.0625,0.633,0.3125,0.24059999999999998,0.25,0.22425,0.4375,0.4361428571428571,0.0,0.0,0.1875,0.43
1941,1945,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945),ЗАКОПНА ПЕСНА,"ЗАКОПНА ПЕСНА
Старице збогум!... Ти една мене
цел живот дете ме познáше...
Таговно сега клепало клепа,
носилка трга низ село наше.
Нема да дојдам, не пуштив солза, не ми е жал,
ден за ден така нè скрија дните...
А еднаш од тебе, дете оџарено, пупунче мало,
чув прва сказна за пупунците.
Збогум! Почини в сурова земја...
Не ќе се штрекнеш ноќе од тага,
ни вик ќе чуеш, ниту ќе видиш
крвава рана на синова снага...",0.4257727272727274,0.46740909090909105,0.39531818181818185,0.4090909090909091,0.13636363636363635,0.22727272727272727,0.3181818181818182,0.5734285714285715,0.36363636363636365,0.48325000000000007,0.22727272727272727,0.5454000000000001,0.36363636363636365,0.36824999999999997,0.3181818181818182,0.34714285714285714,0.5454545454545454,0.5066666666666667,0.0,0.0,0.22727272727272727,0.43899999999999995
1941,1945,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945),СТАРАТА,"СТАРАТА
Старата запира до темната порта, –
не £ се слуша, страшливо се обѕира,
сè £ се чини – некој £ се подбива.
Старата запира до темната порта, –
не £ се види, рано на ругузина се свиткува:
на сон оддалеку со мртвите се надвикува.",0.47472727272727266,0.42872727272727273,0.4102727272727273,0.5454545454545454,0.2727272727272727,0.0,0.0,0.0,0.09090909090909091,0.523,0.0,0.0,0.09090909090909091,0.188,0.09090909090909091,0.484,0.18181818181818182,0.545,0.0,0.0,0.5454545454545454,0.552
1941,1945,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945),ПЕСНАТА ЗА ЗАТВОРНИЦАТА,"ПЕСНАТА ЗА ЗАТВОРНИЦАТА
Еден темен вик ме буди,
пак страшниот дошол час.
Тука тишти, души, студи,
а немошна лежам јас.
Пак е ноќна доба кобна –
се кикоти некој в трем,
и со нокти рака гробна
од ѕидишта грепчи нем.
Ој за цутни сништа млади:
да не бидам веќе роб,
и за нова љубов в гради
ме фрливте овде в гроб!
Зошто уште, сенко темна,
во уречен идеш час,
од сон надеж да ми земеш
за слобода и за спас?
Молком гази полноќ злобна,
се засркна некој в трем,
и со нокти рака гробна
од ѕидишта грепчи нем.",0.4668787878787879,0.5137272727272727,0.4583030303030302,0.36363636363636365,0.15151515151515152,0.15151515151515152,0.15151515151515152,0.5856,0.15151515151515152,0.5796,0.15151515151515152,0.6607999999999999,0.24242424242424243,0.656,0.24242424242424243,0.48250000000000004,0.30303030303030304,0.6002000000000001,0.09090909090909091,0.28099999999999997,0.21212121212121213,0.4935714285714286
1945,1945,MOSTOT (1945) ПOЕМА,MOSTOT (1945) ПOЕМА,1,"1.
Кога од земјава мачна
отстапи Немецот поган,
тој, в злоба песосан мрачна,
разнесе пустош и оган.
Тиранот долго што кај нас
сееше ужас и тага –
зад својте петици гнасни
остави крвава трага.
Но мина лутата мака,
и пустош каде што легна,
се крена работна рака,
народ се стегна:
Патје се градат, пруги се прават,
тунели чадат –
шини се стават,
пискоти потфатен лост!
И веќе в зори
со чад и искри
трга
првиот воз.",0.38677419354838716,0.5423870967741935,0.4492258064516128,0.3548387096774194,0.03225806451612903,0.3870967741935484,0.1935483870967742,0.5569999999999999,0.1935483870967742,0.4283333333333333,0.22580645161290322,0.5927142857142857,0.3225806451612903,0.6381,0.12903225806451613,0.41125,0.3548387096774194,0.680090909090909,0.0967741935483871,0.27066666666666667,0.16129032258064516,0.3922
1945,1945,MOSTOT (1945) ПOЕМА,MOSTOT (1945) ПOЕМА,2,"2.
И токму кога сонцето-јунче
изрипа на планината,
одеднаш,
кипната,
бујна,
се провре
низ темен тунел
машината!
Часум  подзапре,
срже,
замижа,
удрена  од светлината.
Диво закопа,
прилегна,
зовре,
фркна,
и напред јурна,
надолу скокум се фрли,
од радост рикна,
в поле се урна,
ги цепи шините,
бурно
ги сече кривините,
напина гради,
ширина граба,
збива,
бодина,
лета,
размава
развева грива!
Ој напред, напред!
Крај нема полетот!
Лудува земјата,
разлава полето,
пука далечен глед,
молни сонцето сека.
Се шири рамнина и таму сребрена
се точи змијата-река!
На неа сега бодна машината,
таму да мине,
да ја згази,
да ја скине!
Ој напред, напред!
И сè е поблиску,
и веќе јачи железен, силен вик!
Напред!
Уште миг! ...
Но одеднаш
запре...
Болно ги сви мускулите,
писна,
небаре коњ
во трк
над пропаст
на две нозе
обвиснат!",0.5095799999999999,0.5222600000000002,0.5206599999999999,0.56,0.2,0.18,0.1,0.4718,0.06,0.505,0.08,0.53125,0.16,0.507875,0.12,0.3451666666666666,0.16,0.443,0.08,0.4515,0.16,0.419
1945,1945,MOSTOT (1945) ПOЕМА,MOSTOT (1945) ПOЕМА,3,"3.
Како прекршен ’рбет
лежи на вода мостот,
бранот тиок и скрбен
плиска железни коски.",0.4988333333333334,0.33316666666666667,0.41783333333333333,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.203,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.266,0.16666666666666666,0.255,0.16666666666666666,0.703,0.16666666666666666,0.633
1945,1945,MOSTOT (1945) ПOЕМА,MOSTOT (1945) ПOЕМА,4,"4.
Кај мостот тука засилен бој се врза,
падна од дрвјата снегот, зашчека митралез.
Запеа куршум немирна песна и брза,
пукот од бомбите ’рзна. Зачкрта со бес
ножот од мините по срчата небна.
И кога зад мост над градот чад се крена,
и пожар вивна и денот се стемна,
на бегство веќе Немецот се спрема,
пиштат улиците,
ужаси гласат!
На јуриш тогаш минат
борците,
ударниците,
мостот да го спасат!
И загрготе пукот,
од железо чкрт,
куршуми в река се сипат –
во болка таа се витка,
разлава лутата смрт.
Но залудно е сè!
Се кикоти скришно под мост динамит,
ужасен пукот просторот го глуши,
се крши мостот и мртов се руши...",0.42489743589743584,0.5880256410256409,0.47064102564102556,0.38461538461538464,0.07692307692307693,0.3076923076923077,0.20512820512820512,0.59075,0.15384615384615385,0.5181666666666668,0.1794871794871795,0.5324285714285714,0.3076923076923077,0.5188333333333334,0.20512820512820512,0.361375,0.3076923076923077,0.4659166666666667,0.1282051282051282,0.547,0.10256410256410256,0.46875
1945,1945,MOSTOT (1945) ПOЕМА,MOSTOT (1945) ПOЕМА,5,"5.
Но еве веќе работа зборна
кај мостот јачи. Викот
и прав се крева. Гори
на сонце челикот.
Во размав казмите светат.
Работат мајстори, обгарена лика,
работи тука младинска чета!
Чука чеканот,
железото чкрта,
размава раце великанот кран,
наоколу се врти
намрштен.
Пиштат шините
под швајс-машините,
искра прска.
Мостот се гради. Станува веќе
небаре болник од болничен одар.
Исправа железни плеќи,
протега раце над водата.",0.5203478260869564,0.5013478260869565,0.5315217391304349,0.43478260869565216,0.21739130434782608,0.21739130434782608,0.043478260869565216,0.25,0.17391304347826086,0.34925,0.043478260869565216,0.086,0.08695652173913043,0.109,0.21739130434782608,0.4122,0.0,0.0,0.08695652173913043,0.26949999999999996,0.2608695652173913,0.4765
1945,1945,MOSTOT (1945) ПOЕМА,MOSTOT (1945) ПOЕМА,СКАЗНАТА НА СТАРИОТ МАЈСТОР,"СКАЗНАТА НА СТАРИОТ МАЈСТОР
„Мајстори, чујте за син ми сказна,
и вие чујте, синковци млади!
За него тажи душава празна,
за него болка ми кине гради...
Го думам како остана сирак,
во лулка уште, млад сокол сам.
Како сум тиштел, како сум збирал
за да го гледам, јас еден знам.
На мојве раце детето расна,
му бев јас татко грижен и строг
а како мајка се молев гласно
да ми го спасе од болест бог.
Го думам арно во спомен дален
првното запче, и збор, и ôд.
Но како еден до друг сме спале –
остана болка во споменот ...
Спиеше тио јунакот мој,
насмеал мило усте во сонот,
но пуста беше темната ноќ
за татко му од мака гонет.
Јас лежев скинат без капка моќ
и жежок сврдел длабеше в ум,
се вртев тешко на кревет тврд,
и слушав в уши од ужас шум,
и сам ја сакав својата смрт.
Зашто ме дари со мака светот,
да бидам страден за корка леб,
да биде гладно моето дете,
и кровот урнат и огнот слеп.
И мојот Божик да биде тажен,
да дреме беда на мојот кат,
а јас да нема со поглед влажен
да сетам радост никој пат.
Аргатска живот ко лута змија
да дроби снага, лика да пија.
И често така чудно ми беше
за сонот сладок на синот мој,
со тиок усмев како се смешка
в детински сништа заигран тој.
Ме топли драго снагата мала,
ме гали здивот, со жар ме пече,
и ми е чудно, и ми е жално
и јадри солзи без запир течат.
Израсна син ми, бор вишен стана,
му светна в очи на машкост пламен;
се стемна чело во младост рана,
и тврда мисла се спушти таму.
Низ борба нему му мина патот,
го мачи в затвор душман без грев.
Се силев залуд јас да го сфатам,
тој беше сокол, јас робјаш бев!
А кога кај нас повик се крена
да стане народ во крвав бој,
во шумна гора со прва смена
се крена тогај и синот мој!
Три лути зими, три лисни лета
со пушка в раце тој мина в страд,
и вивна светот тој кај што шета
со одбор чета низ смрт и глад.
Низ дим и пламен сив сокол лета
без леки крилје да жижне смад,
ни куршум свирнат од злоба клета
го стигна него во полет млад.
А кога мина година трета
и веќе душман бегаше в јад,
кај мостот овде, на смртта ветен,
тој падна мртов крај роден град.
Тој падна мртов од рака гнасна,
тој тука проли црвена крв,
и заден поглед му тука згасна
ко ѕвезда јасна зад темен врв.
Јас саноќ чекав да чујам чекор,
да тропне син ми на мојот трем,
но ноќта беше глува и мека,
и екот замрен и патот нем.
Го најдов дента кај мостов сразен,
со други сокли во дружна смрт.
Му беше чудно косата мазна,
ја галев долго со дланов тврд.
И после закоп низ градот мина,
одеше народ, пееше хор:
Нека се слави што јунак згина
за својот народ, извишен бор...
И тогаш нешто ме фати, крена,
се напна силно мојата град,
и божем светов друг свет го смена, –
и капна солза за први пат.
Не болка, чудо ми откри таја,
за ошто копнел јунакот мој,
тоа што секи борец го знае
кога во смртта тргнува тој,
тоа што секи човек го таи
длабоко в срце – најубав дар,
но место пожар да вивне сјаен,
што тлее често – запретан жар.
Слобода – толку што сум се мачел,
што значи разбрав тој чуден збор.
А беше закоп. Над гробот мрачен
стоеше народ, пееше хор.
И тогај реков: Мој сине, збогум,
да ти е лека земјата ладна!
За вечен спомен ќе го кренам
мостот во младост каде што падна!
Мајстори, вие имате чеда,
почујте татков зарек и клетва,
младичи, син ми во вас го гледам,
негова тврдост в очи ви светка:
Да прегне секи. Треба да се гради
мостот! Челик тврд нека пишти!
Крв в темел легна. А таква зграда
ни век ја руши, ни бура ја ништи!“",0.5154502164502167,0.4969134199134198,0.5003809523809527,0.4458874458874459,0.16883116883116883,0.2077922077922078,0.16883116883116883,0.4639999999999999,0.20346320346320346,0.44400000000000006,0.11688311688311688,0.5049629629629631,0.22943722943722944,0.4348490566037735,0.24242424242424243,0.40575000000000017,0.27705627705627706,0.47271874999999974,0.12121212121212122,0.42567857142857146,0.19480519480519481,0.4894222222222223
1945,1945,MOSTOT (1945) ПOЕМА,MOSTOT (1945) ПOЕМА,7,"7.
Готов е мостот!
Убавец бодер!
Наутро рано од сон се буди,
протега лак по лак.
Наутро чуден гостин му иде
од модер простор преку ридје,
сонцето – единак!
Сонцето голичко в река скака,
брвнува сето од лад и свежест,
на дно се нурка, плива и шлака,
а мостот фрла од сенка мрежа
и да го фане во неа сака.
Вода се плиска, роса се блиска,
смеа се гласи од бисер јасен,
над река трепка божилак ...
И тогаш
тајно
по шините
далечен трепет се носи,
нечуен
стишен
лек.
Стине
и трпне
од немир мостот!
Морници слатки го лазат.
Премира.
Чека ...
Одеднаш
радосен вик
ја раскина
тишината!
Горе
зад полегат рид
изрипа
машината!
Молскотен поглед
на мостот
метна.
Зеде здив,
прилегна
закопа,
за’ржа
и летна –
надолу се урна,
ги цепи шините,
бурно
ги сече кривините,
напина гради,
ширина граба,
збива,
бодина,
лета,
размава
развева грива!
И ете ја пред мостот.
Шири раце тој!
Со пискот
на гради
му се фрла,
го пали
со здив,
го гали,
го свива,
го стега
в железен преграб,
заглушит,
бурен.
Само за миг.
И веќе напред
в ширина јури,
јури
со победен вик!
Ој напред, напред!
Крај нема полетот!
Лудува земјата,
разлава полето,
пука
далечен глед!",0.5267534246575343,0.4425753424657534,0.47101369863013687,0.5616438356164384,0.1643835616438356,0.1095890410958904,0.0547945205479452,0.6835,0.136986301369863,0.47719999999999996,0.0273972602739726,0.7345,0.1917808219178082,0.41185714285714287,0.1232876712328767,0.3953333333333333,0.1232876712328767,0.3193333333333334,0.1232876712328767,0.5218888888888888,0.136986301369863,0.4486
1948,1948,ЗЕМЈАТА И ЉУБОВТА (1948),ЗЕМЈАТА И ЉУБОВТА (1948),ТЕШКОТО,"ТЕШКОТО
О тешкото! Сурли штом диво ќе писнат,
штом тапан ќе грмне со подземен екот –
во градиве зошто жал лута ме стиска,
во очиве зошто навирува река
и зошто ми иде да плачам ко дете,
да превијам раце, да прекријам лик –
та гризам јас усни, стегам срце клето,
да не пушти вик.
О тешкото! Старци излегуват еве,
на чело им мисла, во очи им влага
и првиот чекор по меката трева
е мирен и бавен, со здржана тага.
Но ’рзнува тапан и писок се крева
и молнија светнува во секој глед,
и напред се пушта, се стрелка, се слева
стегнатиот ред.
До старците момци се фаќаат скокум;
не издржа срце – сив сокол во клетка,
не издржа пламен жив потулен в око,
не издржа младост што сака да летне!
Се залула оро! Се заврте земја,
и чиниш – се корне стресениот век,
и околу трпнат ридиштата темни
и враќаат ек.
И божем се врасло кипнатово оро
со исконска сила за земјава наша
и во него шуми на реките зборот,
и во него рика див ветер и страшен
и во него шепнат узреани житја
и вечерен мирис се разлева тих,
и земјата дише во пролетна ситост
со запален здив.
И душата, чиниш, на родот мој мачен
во тешково оро се уткала сета –
век по век што трупал сè попуст и мрачен
од крвава болка, од робија клета,
век по век што нижел од корава мисла
за радосна челад, за слободен свет,
од песна – за љубов што гине со пискот
ко жерав во лет.
О тешкото! Кога во молк да те гледам,
на очиве магла ми напаѓа сура,
и одеднаш – в бескрај се растега редот
и ридја се губат в пустелија штура –
и еве кај иде од маглата матна
сè сенка до сенка, сè еден до друг –
во бескрајно оро син оди по татка,
по деда си – внук.
Времињата мрачни се нивното поле,
и нивната свирка – на прангите ѕвекот,
а главите им се наведени доле,
и покроце врват – сè чекор по чекор.
О времиња, што ве в мрак родот мој минал,
кој збор ќе ми најде за вашата стрв?!
Кој збор ќе ми најде за ужасот зинат
над пустош и крв?!
Кој број ќе ми каже на лутите рани,
на пламнати ноќи, на пеплишта пусти,
кој на срце болки ќе изреди збрани,
и на очи солзи, и клетви на усти?
О тешкото! Синџир ти беше на робја,
од калеши моми и невести ред,
со врзани раце во плен што ги погнал
насилникот клет.
О тешкото! Синџир ти беше на робја,
дур не стана народ во листена гора,
сè дури со јадот од векови собран
не поведе бујно, бунтовничко оро!
Се залула танец низ крвје и огон,
и повик се зачу и грмеж во чад –
те разнесе сегде бунтовната нога
по родниот кат.
О тешкото! Сега по нашите села
во слобода првпат штом оро ќе сретам,
зар чудно е – солза да потече врела,
зар чудно е – жалба јас в срце да сетам?!
Од вековно ропство, мој народе, идеш
но носиш ти в раце дар златен и пој.
Пченицата твоја триж плодна ќе биде,
и животот твој!",0.4881854304635762,0.48341721854304626,0.4718278145695363,0.47019867549668876,0.11920529801324503,0.16556291390728478,0.18543046357615894,0.4070714285714285,0.16556291390728478,0.47056,0.08609271523178808,0.45376923076923076,0.16556291390728478,0.48236000000000007,0.17880794701986755,0.4205925925925926,0.2119205298013245,0.5385000000000001,0.10596026490066225,0.41068750000000004,0.17218543046357615,0.4750769230769232
1948,1948,ЗЕМЈАТА И ЉУБОВТА (1948),ЗЕМЈАТА И ЉУБОВТА (1948),1,"1.
Бел трендафил – ти за мене цутиш,
и ти, моме, мое ќе ми бидиш!
Ти си, младост, за да се радувам,
малој моме за да те милувам!",0.5633333333333334,0.5099999999999999,0.4843333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.219,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.5315,0.0,0.0,0.0,0.0,0.0,0.0
1948,1948,ЗЕМЈАТА И ЉУБОВТА (1948),ЗЕМЈАТА И ЉУБОВТА (1948),2,"2.
Молчи, молчи, кутро срце!
дури среќно да ми бидиш,
по апцани, по зандани
многу маки ти ќе видиш.",0.4851666666666667,0.3975,0.44333333333333336,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.885,0.3333333333333333,0.5035000000000001,0.0,0.0,0.3333333333333333,0.497,0.3333333333333333,0.43,0.3333333333333333,0.8045,0.0,0.0,0.16666666666666666,0.273
1948,1948,ЗЕМЈАТА И ЉУБОВТА (1948),ЗЕМЈАТА И ЉУБОВТА (1948),3,"3.
Сношти жално низ темнина
јаор дрво шумеше.
Само легнав, сам си заспав,
ми се сони чуден сон.
Ми се сони темна магла,
во маглата до два сокла,
од крилје се бисер рони.
Кажи, мајко, стара мајко,
каков показ е?
– Тешка коба, судна мака
коби, сину, твојот сон:
темна магла – темен зандан,
до два сокла – до два брата,
дробен бисер – ситен синџир.",0.45917857142857127,0.4585357142857143,0.39225000000000004,0.39285714285714285,0.07142857142857142,0.25,0.14285714285714285,0.5922499999999999,0.10714285714285714,0.39599999999999996,0.25,0.4754285714285714,0.2857142857142857,0.49437499999999995,0.25,0.4201428571428571,0.39285714285714285,0.42881818181818177,0.07142857142857142,0.33199999999999996,0.21428571428571427,0.521
1948,1948,ЗЕМЈАТА И ЉУБОВТА (1948),ЗЕМЈАТА И ЉУБОВТА (1948),4,"4.
Лудо лежи во зандана,
тешки пранги на нозете,
дробен синџир на рацете.
Никој не иди
лудо да види,
таго ле!
Утре рано ќе отворат,
лудо младо да заберат,
лудо младо dа загубат.
Никој не гласи
лудо да спаси,
таго ле!",0.35322222222222227,0.47466666666666657,0.37422222222222223,0.3333333333333333,0.05555555555555555,0.5,0.3333333333333333,0.6228333333333333,0.16666666666666666,0.578,0.0,0.0,0.5555555555555556,0.5125,0.05555555555555555,0.2,0.16666666666666666,0.7973333333333333,0.05555555555555555,0.547,0.16666666666666666,0.34366666666666673
1948,1948,ЗЕМЈАТА И ЉУБОВТА (1948),ЗЕМЈАТА И ЉУБОВТА (1948),5,"5.
Гарване море, црно пиле де!
Лоша коба кобиш, црни гласје носиш.",0.4328333333333334,0.5055,0.2941666666666667,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.477,0.16666666666666666,0.584,0.0,0.0,0.3333333333333333,0.523,0.0,0.0,0.16666666666666666,0.328
1948,1948,ЗЕМЈАТА И ЉУБОВТА (1948),ЗЕМЈАТА И ЉУБОВТА (1948),6,"6.
Многу жал ми падна, многу црна мака,
за твојата младост дека загина.
Силно момче беше, силно срце в гради,
не истрпе срце ропство да го јади!
Ти нарами пушка, одбор чета собра
и планина вати гора зелена.
Те издемна душман, во злоба утаен.
За отплата вика гробот твој незнаен!",0.4753888888888888,0.5859444444444445,0.5666666666666667,0.16666666666666666,0.16666666666666666,0.3888888888888889,0.2222222222222222,0.5245,0.16666666666666666,0.45566666666666666,0.2222222222222222,0.46475,0.2777777777777778,0.5374000000000001,0.2222222222222222,0.33125,0.5,0.5277777777777779,0.0,0.0,0.05555555555555555,0.359
