,pesna,year_from,year_to,song_name,zbirka_name,podzbirka_name
0,спомен останаа ум бел магла пуста есен наш полиња бега воз наврнат жален рика бега село есенски рид гол тонеа далечина расплакана кален приквечерина чад влегува гради мисли земја татковина тага склучка гради бидам тажен штом гледа нашево нашено мина бакалски носеј пробесени бечви процовцани унечки измацани селански очи тресливи раце испукан умој исчукан вратој наструпени глава ничкум наведен деца пргав свет бор ветени потурнати поплукани раскрсница крвави умира ужасени небо пустелинско темнина штрекнати метеори угасени бега воз наврнат рика темница рика мак роден згазено племе љубов враќа земја песочлива длабоко остана спомен бели магла наш полиња налани наш калдрма,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
1,премала понекогаш доаѓа човек загреви себеси гледа отстрана сам себе жал кутриот овој сака плет чувај таква премала човече роден тукутака води смет,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
2,селски пат патека тесен кривуличав провирам конец игла спомен води каменици еве стаса чешма тука отепан соколе наш пусто турско протнав патче сивец оттука гледа долу небрегово,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
3,немош случи секого човек птица волк последен порив последен повик последен подем или полет потоа пад молк плаче последните десет година исцрпување возбуди болка клука липа напуштени деца сами замандалена порт која гол раце немош чука,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
4,знак љубов врв мој липа денеска две птица тихо лелеат спроти друга спрема сино небо две гранчиња иде звук далечен флејта сокол ами две мил гугучки,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
5,многу жал падна многу црна мак твој младост загина силно момче силно гради истрпе ропство јади нарами пушка одбор чета собра план вати гора зелен издемна душман зло утаен отплата вика гроб твој незнаен,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
6,ревматизам анѓел би глето моето десно колено удира закрепне вели удира нареден заповедано речен удира мава чукам исто место ден година заморен едноличен работа прости моли ако боли,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
7,мразовите суров зима испомрзнаа дрвчиња грмушка поп мраз дојран зокум катмерестите студен сек рез понатаму жугнат негдегоде непромислен животен сок нов подница корењата,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
8,шар план иден носи поглед снежен љуботенски вису зашто плаши можеби безрасуден никој сети цел вечност олку остро оваа бела убавина сончев неделен ден светиниколскиот месец,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
9,gодина gо разбунtува карpош pроtив беgовиtе кумановскиоt крај оган разгоре ноќта пушка немирници ѕунат народе стануј збирај војско буна крева буна карпош карадаг слезе село село ита планински виор разлулеа зрел поле жита народе стануј збирај војско рипај машчио сиромашчио голабоса грабај има кременарка ластегарка сор кос удри бејското племе темник нека земе виор пустелија нека расее пчошки семе каде поганци кулите сосе пискулите булите куртулите крвав ви иде еремија десница сабја трешница лев гламна горешница страшен рака плаќа мака зора зазори сите пат идат лути сватје чекај кумановски гради тропнат твојте вратје отворај визба амбар токми дар карпош води свадбар буно карпошова селанска веселба црвено вина црвен крв пат лее јуначка пее крал крал земе цара цар земе земја ослободи идат крај пат сув брест качен зијабег висок рамо гаргач држи место сокол зијо змијо капина префрлена еве бел чини душа кине еве беделите кулуците неделите идат барјак крвавее пушка ѕунат народе стануј збирај војско буна крева буна,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
