,pesna,year_from,year_to,song_name,zbirka_name,podzbirka_name
0,спомен ми останаа во умот белите магли и една пуста есен по нашите полиња бегаше возот наврнат жално рикаше бегаа селата есенски од мене и ридје голи тонеа во далечината беше расплакана кална приквечерина чад ми влегуваше в гради за тебе мислев земјо татковино тага се склучка в гради како да не бидам тажен штом гледам што е нашево сега нашено минато бакалски носеј пробесени бечви процовцани унечки измацани селански очи тресливи раце испукани умој исчукани вратој наструпени глави ничкум наведени а тие деца пргави на света борба ветени потурнати поплукани на раскрсници крвави умирале ужасени тие на небо пустелинско од темнината штрекнати метеори угасени бегаше возот тогаш наврнат рикаше во темницата така рикаше мака во мене дека сум роден во згазено племе и зошто сега пак љубов ме враќа кај тебе земјо песочлива длабоко в душа остана спомен за бели магли по нашите полиња за песна од налани по нашите калдрми,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
1,премала понекогаш му доаѓа на човека да се загреви над себеси се гледа како отстрана и самиот себе се жала кутриот и овој уште нешто сака уште нешто плетка чувај се од таква премала човече ти не си роден тукутака води сметка,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
2,селски пат таа патека тесна и кривуличава ја провирам како конец низ игла во мојот спомен сега ме води по каменици еве ме стасав и до чешмата тука е отепан соколе наш во пусто турско го протнав патчето сè до сивец оттука веќе се гледа долу небрегово,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
3,немош тоа се случува така со секого со човек со птица со волк последен порив последен повик последен подем или полет потоа пад и молк плачат во мене последните десет години на исцрпување од возбуди и болка што клука липаат како напуштени деца сами пред замандалена порта на која со голи раце немошта чука,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
4,знак љубов на врвот на мојата липа денеска дури две птици тихо се лелеат една спроти друга спрема синото небо на две гранчиња тоа иде како звук од далечна флејта сега тоа не е еден сокол ами две милни гугучки,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
5,многу жал ми падна многу црна мака за твојата младост дека загина силно момче беше силно срце в гради не истрпе срце ропство да го јади ти нарами пушка одбор чета собра и планина вати гора зелена те издемна душман во злоба утаен за отплата вика гробот твој незнаен,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
6,ревматизам еден анѓел бие со глето во моето десно колено јас удирам не да те закрепнам вели тој јас удирам дека ми е наредено заповедано мене ми е речено да удирам да мавам да чукам сè на исто место со денови и со години јас сум заморен од таа еднолична работа прости ми те молам ако боли,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
7,по мразовите сурова зима испомрзнаа толку дрвчиња грмушки ги попари мразот во дојран зокумите катмерестите студен сек рез и што понатаму ќе жугнат пак негдегоде со непромислен животен сок нови подници од корењата,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
8,шар планина и во идниот живот ќе те носам тебе во погледот снежен љуботенски вису зашто се плашам можеби безрасудно дека никој веќе нема да ја сети во целата вечност олку остро оваа бела убавина како мене сега во сончев неделен ден во светиниколскиот месец,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
9,во gодина gо разбунtува карpош pроtив беgовиtе кумановскиоt крај оган ја разгоре ноќта пушки немирници ѕунат народе стануј збирај се војско буна се крева буна карпош од карадаг слезе од село в село ита планински виор ги разлулеа зрелите в поле жита народе стануј збирај се војско рипај машчио сиромашчио голабоса грабај кој има кременарка кој нема ластегарка сор и коса удри го бејското племе темник нека го земе виор в пустелија нека го расее пчошкото семе каде поганци од кулите сосе пискулите и булите нема да куртулите крвав ви иде еремија в десница сабја му трешница в левица гламна горешница страшна е раката што плаќа за маката зора зазорува а по сите патје идат лути сватје чекај кумановски граде ќе тропнат на твојте вратје отворај визби амбари токми дарови карпош ти води свадбари буно карпошова селанска веселбо црвено вино црвена крв на пат се лее јуначка песна се пее на крала кралство ќе земеме на цара царство ќе земеме земја ќе ослободиме идат а крај пат на сув брест качен зијабег на високо на рамо гаргач држи место сокол зијо змијо на капина префрлена еве ти за белите што ги чинеше душата што ни ја кинеше еве ти за беделите за кулуците по неделите идат барјак крвавее пушки ѕунат народе стануј збирај се војско буна се крева буна,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
10,видување дошол стрико петруш од дреновци кондисал кај евремовци нели го прават митроен еј од кога не е дојден од оломнани го фатил далак кутриот д одиме да го видиме сега е време да се скрши некој лаф со него оти што знаеш што носи денот што носи ноќта едно видување еден век,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
11,хроника на прилеп останавте по патот наши другари и браќа било кај тројаци било кај никодин или на мукос или на прилепец на песјо брдце и каде не испраќајќи нè како со смешка на усните пред да склопите очи и следејќи нè упорно сè довде,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
12,смртна песна pосвеtена на н ваpцаров да те изнесат надвор во стресен истинат мрак дош тура засилен надвор и нешто шуми надвор во стресен истинат мрак мирно да поминеш сам пред окрвавено зло ако си спомниш нешто веднаш забóрај го умира секој вик нечуен в темнина и твојот смртен вик нечуен загина,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
