,pesna,year_from,year_to,song_name,zbirka_name,podzbirka_name
0,спомен останаа умот белите магли пуста есен нашите полиња бегаше возот наврнат жално рикаше бегаа селата есенски ридје голи тонеа далечината расплакана кална приквечерина чад влегуваше гради мислев земјо татковино тага склучка гради бидам тажен штом гледам нашево нашено минато бакалски носеј пробесени бечви процовцани унечки измацани селански очи тресливи раце испукани умој исчукани вратој наструпени глави ничкум наведени деца пргави света борба ветени потурнати поплукани раскрсници крвави умирале ужасени небо пустелинско темнината штрекнати метеори угасени бегаше возот наврнат рикаше темницата рикаше мака роден згазено племе љубов враќа земјо песочлива длабоко остана спомен бели магли нашите полиња налани нашите калдрми,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
1,премала понекогаш доаѓа човека загреви себеси гледа отстрана самиот себе жала кутриот овој сака плетка чувај таква премала човече роден тукутака води сметка,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
2,селски пат патека тесна кривуличава провирам конец игла спомен води каменици еве стасав чешмата тука отепан соколе наш пусто турско протнав патчето сивец оттука гледа долу небрегово,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
3,немош случува секого човек птица волк последен порив последен повик последен подем или полет потоа пад молк плачат последните десет години исцрпување возбуди болка клука липаат напуштени деца сами замандалена порта која голи раце немошта чука,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
4,знак љубов врвот мојата липа денеска две птици тихо лелеат спроти друга спрема синото небо две гранчиња иде звук далечна флејта сокол ами две милни гугучки,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
5,многу жал падна многу црна мака твојата младост загина силно момче силно гради истрпе ропство јади нарами пушка одбор чета собра планина вати гора зелена издемна душман злоба утаен отплата вика гробот твој незнаен,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
6,ревматизам анѓел бие глето моето десно колено удирам закрепнам вели удирам наредено заповедано речено удирам мавам чукам исто место денови години заморен еднолична работа прости молам ако боли,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
7,мразовите сурова зима испомрзнаа дрвчиња грмушки попари мразот дојран зокумите катмерестите студен сек рез понатаму жугнат негдегоде непромислен животен сок нови подници корењата,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
8,шар планина идниот носам погледот снежен љуботенски вису зашто плашам можеби безрасудно никој сети целата вечност олку остро оваа бела убавина сончев неделен ден светиниколскиот месец,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
9,gодина gо разбунtува карpош pроtив беgовиtе кумановскиоt крај оган разгоре ноќта пушки немирници ѕунат народе стануј збирај војско буна крева буна карпош карадаг слезе село село ита планински виор разлулеа зрелите поле жита народе стануј збирај војско рипај машчио сиромашчио голабоса грабај има кременарка ластегарка сор коса удри бејското племе темник нека земе виор пустелија нека расее пчошкото семе каде поганци кулите сосе пискулите булите куртулите крвав ви иде еремија десница сабја трешница левица гламна горешница страшна раката плаќа маката зора зазорува сите патје идат лути сватје чекај кумановски граде тропнат твојте вратје отворај визби амбари токми дарови карпош води свадбари буно карпошова селанска веселбо црвено вино црвена крв пат лее јуначка пее крала кралство земеме цара царство земеме земја ослободиме идат крај пат сув брест качен зијабег високо рамо гаргач држи место сокол зијо змијо капина префрлена еве белите чинеше душата кинеше еве беделите кулуците неделите идат барјак крвавее пушки ѕунат народе стануј збирај војско буна крева буна,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
10,видување дошол стрико петруш дреновци кондисал евремовци нели прават митроен еј дојден оломнани фатил далак кутриот д одиме видиме време скрши некој лаф оти знаеш носи денот носи ноќта едно видување век,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
11,хроника прилеп останавте патот наши другари браќа било тројаци било никодин или мукос или прилепец песјо брдце каде испраќајќи смешка усните склопите очи следејќи упорно довде,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
12,смртна pосвеtена н ваpцаров изнесат надвор стресен истинат мрак дош тура засилен надвор шуми надвор стресен истинат мрак мирно поминеш сам окрвавено зло ако спомниш веднаш забóрај умира секој вик нечуен темнина твојот смртен вик нечуен загина,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
13,трепет молам запри пристапуј близу граба веднаш сепобеден ужас твојте стапки леки страдам божем газиш пат тага есен рони лисја тихи солзи прва љубов немам молам запри пристапуј близу,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
14,полноќ загубен жерав бескраен мрак бескрај гласи самотен вик самотен вик ветрот скршен мразни зори уморни крилја склопи доврши незнаен пат бескрај гласи самотен вик мртов град самотен вик дали има будно тагата ништо друго бескраен сети јад мразно поле темница пискот сама ранета птица,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
15,помош стари млади гледам околу готови земат товарот себе кимка надокнада помогнат отворено наивно примаат смисла опасноста чемреам паднал очај крени главата окајаниј можеби несебична помош постигаш иднината,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
