,words,count
0,и,1512
1,да,1237
2,на,1049
3,се,1034
4,во,765
5,што,595
6,со,580
7,не,513
8,од,513
9,како,502
10,е,459
11,за,436
12,го,413
13,ти,283
14,а,278
15,ќе,277
16,ја,276
17,по,251
18,ми,248
19,си,232
20,јас,227
21,в,216
22,ме,199
23,само,193
24,таа,187
25,дека,183
26,ги,181
27,тоа,179
28,тој,164
29,но,157
30,сè,154
31,сега,150
32,до,147
33,сум,143
34,те,141
35,кога,135
36,тие,134
37,уште,120
38,нема,109
39,мене,108
40,дури,108
41,пак,107
42,пред,106
43,му,105
44,ни,104
45,веќе,100
46,така,97
47,над,83
48,една,81
49,песна,79
50,под,77
51,тебе,73
52,колку,71
53,без,69
54,о,68
55,кај,67
56,беше,65
57,толку,64
58,нив,64
59,тогаш,62
60,срце,60
61,сме,60
62,животот,59
63,нешто,57
64,живот,56
65,нас,56
66,би,56
67,нè,55
68,зошто,55
69,еден,54
70,низ,54
71,мојот,54
72,кој,54
73,душа,54
74,треба,53
75,него,52
76,им,52
77,рака,51
78,било,49
79,има,49
80,збор,48
81,сите,48
82,неа,47
83,сон,46
84,човек,46
85,себе,46
86,очи,45
87,небо,45
88,може,45
89,ние,45
90,сепак,45
91,знам,44
92,овој,42
93,па,42
94,сам,41
95,мојата,41
96,ништо,41
97,некој,39
98,таму,39
99,еве,39
100,твојот,39
101,тука,38
102,ден,38
103,многу,38
104,време,37
105,мисла,37
106,каде,37
107,гради,36
108,секој,36
109,меѓу,36
110,ова,36
111,пат,35
112,биде,35
113,никој,35
114,сето,34
115,вие,34
116,зашто,34
117,дали,34
118,оваа,34
119,спомен,33
120,еднаш,33
121,крај,33
122,сонце,33
123,раце,32
124,ноќ,32
125,сета,32
126,ако,32
127,кон,32
128,дете,31
129,мака,31
130,гледам,31
131,мој,31
132,сенка,31
133,зар,31
134,едно,31
135,затоа,31
136,малку,31
137,сакам,30
138,час,30
139,вода,30
140,чека,30
141,сосем,30
142,нека,29
143,својата,29
144,зборот,29
145,глас,29
146,можеби,29
147,или,29
148,љубов,28
149,поглед,28
150,ами,28
151,тага,27
152,мајка,27
153,знае,27
154,штом,27
155,нашите,27
156,твојата,27
157,можам,27
158,своите,27
159,земјата,26
160,својот,26
161,иде,26
162,сонцето,25
163,сонот,25
164,сила,25
165,далеку,25
166,носи,24
167,миг,24
168,споменот,24
169,бели,24
170,моја,24
171,езеро,24
172,напред,23
173,снага,23
174,спрема,23
175,место,23
176,бил,23
177,свети,23
178,небото,23
179,години,23
180,ниту,22
181,болка,22
182,смртта,22
183,век,22
184,сети,22
185,сте,22
186,смисла,22
187,овде,21
188,ко,21
189,младост,21
190,душата,21
191,ве,21
