,sentence,year_from,year_to
0,пес за живот,1941,1945
1,како лаеле пците,1941,1945
2,како било кален,1941,1945
3,сето ме наваса сега,1941,1945
4,во темничиштево пален,1941,1945
5,крваво време,1941,1945
6,сето си,1941,1945
7,гола измачен мрша,1941,1945
8,со чекан една по една,1941,1945
9,глава бабуњави крши,1941,1945
10,ииии,1941,1945
11,задишени,1941,1945
12,напред вјаса,1941,1945
13,не се даваме,1941,1945
14,настрвен,1941,1945
15,ќе каса,1941,1945
16,камбана,1941,1945
17,попусто ближен бара,1941,1945
18,срце желно прежелно,1941,1945
19,самотник оди некаде,1941,1945
20,заслушан в темен шум,1941,1945
21,срамотно му е некому,1941,1945
22,еденздруг да се смисли,1941,1945
23,еден за друг да најде,1941,1945
24,најискрен добор збор,1941,1945
25,загина сешто невратно,1941,1945
26,самотна што сум сонува,1941,1945
27,остана сама навреда,1941,1945
28,на срце горок жал,1941,1945
29,ноќен пес,1941,1945
30,јас сака сам да оди,1941,1945
31,чудно ноќта ме пречекува,1941,1945
32,со ѕвезда ме опсипува,1941,1945
33,жуберка месечинска светлина,1941,1945
34,ме опијани,1941,1945
35,длабока мисла скриен мисла,1941,1945
36,од гради станува,1941,1945
37,и крева очи чуден пес екна,1941,1945
38,ноќта ме усинува,1941,1945
39,да бидеш тука тука не час,1941,1945
40,ѕвездена вечност поминува,1941,1945
41,да бидеш тука,1941,1945
42,од сите ќе те сторам најубав,1941,1945
43,нејќам да вида нејќам да знам,1941,1945
44,песна сама нека ме носи,1941,1945
45,да ме окрили,1941,1945
46,се лула небо темносино,1941,1945
47,сешто шепина штурка пригласува,1941,1945
48,жален спомен ме мили,1941,1945
49,дека ти мисли најарно на свет,1941,1945
50,а ти ме нејќеш жал ме задуши,1941,1945
51,жал сè заглуши,1941,1945
52,раздел,1941,1945
53,нам ни е даден за ден да сака,1941,1945
54,и пак на раздел тажен да биде,1941,1945
55,и пак си вели не заборавај ме,1941,1945
56,а може никогаш да не се види,1941,1945
57,пат ќе ни препречи мостој соборени,1941,1945
58,пат ќе ни препречи градој изгорени,1941,1945
59,пат ќе ни препречи куршум в чело,1941,1945
60,и пак сме може тажен да биде,1941,1945
61,и пак си вели не заборавај ме,1941,1945
62,а може никогаш да не се види,1941,1945
63,закоп пес,1941,1945
64,старице збогум ти една мене,1941,1945
65,цел живот дете ме познáше,1941,1945
66,таговен сега клепа клепа,1941,1945
67,носилка трга низ село наше,1941,1945
68,нема да дојде не пушти солза не ми е жал,1941,1945
69,ден за ден така нè скрија дните,1941,1945
70,а еднаш од тебе дете оџарено пупунче мало,1941,1945
71,чув прва сказ за пупунците,1941,1945
72,збогум почини в суров земја,1941,1945
73,не ќе се штрекнеш ноќе од тага,1941,1945
74,ни вик ќе чуеш ниту ќе види,1941,1945
75,крвав рана на сино снага,1941,1945
76,стар,1941,1945
77,стар запира до темен порт,1941,1945
