,words,count
0,може,122
1,збор,98
2,мој,97
3,наш,81
4,сака,79
5,сам,79
6,свет,73
7,ден,72
8,гледа,72
9,небо,68
10,пат,64
11,знае,60
12,сонце,58
13,спомен,57
14,човек,56
15,мисла,55
16,земја,55
17,има,54
18,друг,53
19,крај,53
20,чека,53
21,мак,50
22,сети,50
23,било,49
24,сите,48
25,сон,48
26,свој,48
27,неа,47
28,оди,46
29,стар,46
30,себе,46
31,очи,45
32,цел,45
33,ние,45
34,сепак,45
35,време,44
36,час,44
37,знам,44
38,биде,44
39,мисли,43
40,носи,42
41,овој,42
42,глас,42
43,па,42
44,гради,41
45,поглед,41
46,ништо,41
47,љубов,40
48,смрт,40
49,езеро,40
50,некој,39
51,таму,39
52,еве,39
53,твојот,39
54,тука,38
55,види,38
56,дете,38
57,иде,38
58,многу,38
59,темен,37
60,слуша,37
61,каде,37
62,година,36
63,секој,36
64,меѓу,36
65,ова,36
66,никој,35
67,мрак,35
68,твој,35
69,сето,34
70,снага,34
71,вие,34
72,душа,34
73,ноќ,34
74,зашто,34
75,век,34
76,дали,34
77,оваа,34
78,еднаш,33
79,младост,33
80,негов,33
81,жив,33
82,ист,33
83,бара,32
84,гроб,32
85,прв,32
86,раце,32
87,сен,32
88,сета,32
89,ако,32
90,кон,32
91,тага,31
92,место,31
93,зар,31
94,едно,31
95,затоа,31
96,малку,31
97,вод,30
98,жена,30
99,студен,30
100,сосем,30
101,нека,29
102,млад,29
103,лик,29
104,можеби,29
105,или,29
106,нов,28
107,мај,28
108,камен,28
109,птица,28
110,ами,28
111,чини,27
112,мине,27
113,болка,27
114,штом,27
115,своите,27
116,прави,26
117,поле,26
118,миг,26
119,спрема,26
120,син,26
121,својот,26
122,сил,26
123,пролет,26
124,шум,25
125,вели,25
126,народ,25
127,сонот,25
128,нивен,25
129,далеку,25
130,жал,24
131,песна,24
132,надеж,24
133,мрачен,24
134,сме,24
135,бели,24
136,луѓе,24
137,напред,23
138,сит,23
139,бил,23
140,нема,23
141,нејзин,23
142,крева,22
143,ниту,22
144,зора,22
145,град,22
146,клет,22
147,чекор,22
148,бел,22
149,вика,22
150,убавина,22
151,следи,22
152,допир,22
153,сте,22
154,смисла,22
155,тело,22
156,станува,21
157,овде,21
158,мина,21
159,ко,21
160,ред,21
161,магла,21
162,ве,21
163,црн,21
164,игра,21
165,некаква,21
166,тажен,20
167,никогаш,20
168,село,20
169,дојде,20
170,вик,20
171,татко,20
172,вас,20
173,та,20
174,каже,20
175,води,20
176,дожд,20
177,твоите,20
178,барем,20
179,иако,20
180,која,20
181,најде,19
182,ноќта,19
183,чело,19
184,лета,19
185,мал,19
186,стане,19
187,роден,19
188,рид,19
189,тишина,19
190,околу,19
191,страв,19
192,полека,19
193,надвор,19
194,темница,19
195,оној,19
196,свест,19
197,заради,19
198,секоја,19
199,допре,19
200,вида,18
201,ој,18
202,радост,18
203,далечен,18
204,две,18
205,мост,18
206,бран,18
207,ре,18
208,гори,18
209,моли,18
210,ум,18
211,моето,18
212,здив,18
213,бор,18
214,пее,18
215,молчи,18
216,два,18
217,последен,18
218,секогаш,18
219,вечер,18
220,ветрот,18
221,друго,18
222,врати,18
223,боже,18
224,некогаш,18
225,моите,18
226,случи,18
227,некаде,17
228,остана,17
229,полноќ,17
230,ужас,17
231,зад,17
232,мек,17
233,рацете,17
234,мил,17
235,полн,17
236,каква,17
237,при,17
238,права,17
239,глава,16
240,чуден,16
241,траг,16
242,силен,16
243,црвен,16
244,крв,16
245,убав,16
246,зелен,16
247,денеска,16
248,брег,16
249,шепот,16
250,двете,16
251,долу,16
252,жед,16
253,ах,16
254,двор,16
255,повеќе,16
256,рече,16
257,црква,16
258,негде,16
259,тетин,16
260,чудно,15
261,страшен,15
262,студ,15
263,бев,15
264,тешко,15
265,јасен,15
266,значи,15
267,ви,15
268,таква,15
269,преку,15
270,плаче,15
271,усна,15
272,тих,15
273,губи,15
274,злат,15
275,биди,15
276,назад,15
277,ли,15
278,роди,15
279,голем,15
280,збогум,14
281,пушти,14
282,сино,14
283,сокол,14
284,тече,14
285,лек,14
286,врв,14
287,трева,14
288,живее,14
289,куќа,14
290,таков,14
291,вина,14
292,веднаш,14
293,есен,14
294,кои,14
295,судбина,14
296,она,14
297,единствен,14
298,воздух,14
299,господ,14
300,срце,13
301,ѕвезда,13
302,солза,13
303,ноќе,13
304,буди,13
305,бидам,13
306,гази,13
307,долго,13
308,падна,13
309,фати,13
310,чудо,13
311,реков,13
312,трепет,13
313,мат,13
314,кажи,13
315,мајка,13
316,утре,13
317,доста,13
318,твоето,13
319,прст,13
320,дел,13
321,вистина,13
322,чува,13
323,сенка,13
324,молитва,13
325,нејасен,13
326,зема,13
327,спокој,13
328,друга,13
329,убаво,13
330,најпосле,13
331,дните,12
332,ран,12
333,планина,12
334,шири,12
335,запре,12
336,бој,12
337,улица,12
338,простор,12
339,сфати,12
340,три,12
341,после,12
342,гласи,12
343,летен,12
344,шуми,12
345,род,12
346,седи,12
347,звук,12
348,браќа,12
349,лист,12
350,утро,12
351,желба,12
352,поарно,12
353,ветар,12
354,жеден,12
355,дух,12
356,порив,12
357,даде,12
358,оние,12
359,остава,12
360,прости,12
361,лице,12
362,знак,12
363,туѓ,12
364,разбира,12
365,креп,12
366,себеси,12
367,светлина,11
368,жален,11
369,суров,11
370,крвав,11
371,земе,11
372,зло,11
373,остави,11
374,снег,11
375,бег,11
376,мртов,11
377,работа,11
378,вода,11
379,мачи,11
380,повик,11
381,сив,11
382,ете,11
383,див,11
384,дише,11
385,првпат,11
386,мое,11
