,words_in_pesna,count
0,152,1
1,42,5
2,47,9
3,54,8
4,40,9
5,49,6
6,57,11
7,33,3
8,45,7
9,219,1
10,53,10
11,52,8
12,66,8
13,59,7
14,105,3
15,41,6
16,79,7
17,89,5
18,51,6
19,63,7
20,44,5
21,18,8
22,92,6
23,36,5
24,38,6
25,46,14
26,154,2
27,62,3
28,48,7
29,32,6
30,74,6
31,19,4
32,107,4
33,130,1
34,30,6
35,94,5
36,60,4
37,90,8
38,80,4
39,81,5
40,103,3
41,39,14
42,71,5
43,56,6
44,61,6
45,526,1
46,50,4
47,77,2
48,87,6
49,161,1
50,96,5
51,68,4
52,67,5
53,65,2
54,29,3
55,214,2
56,85,5
57,73,6
58,27,5
59,1427,1
60,84,4
61,129,1
62,76,4
63,345,1
64,440,1
65,23,3
66,199,1
67,34,13
68,35,7
69,37,9
70,138,1
71,31,10
72,99,4
73,43,11
74,11,1
75,95,4
76,153,2
77,22,2
78,117,1
79,14,2
80,26,4
81,28,3
82,55,5
83,254,1
84,20,6
85,91,2
86,15,1
87,21,2
88,106,2
89,24,2
90,82,3
91,86,1
92,116,2
93,111,1
94,64,5
95,69,5
96,142,2
97,124,2
98,121,1
99,151,1
100,93,3
101,58,2
102,98,1
103,126,1
104,167,1
105,75,3
106,109,1
107,136,1
108,78,1
109,134,1
110,360,1
111,258,1
112,70,3
113,164,1
114,663,1
115,102,2
116,511,2
117,114,1
118,16,2
119,479,1
120,207,1
121,170,1
122,128,1
123,484,1
124,12,2
125,88,3
126,110,1
127,188,1
128,144,1
129,108,1
130,236,1
131,150,1
132,184,1
133,455,1
134,177,1
135,182,1
136,97,1
137,113,1
138,72,2
139,156,1
140,343,1
141,132,1
142,195,1
143,25,1
144,6,1
145,490,1
146,209,1
147,104,1
148,140,1
149,120,1
150,210,1
151,337,1
152,462,1
