,words_in_pesna,count
0,100,1
1,23,18
2,27,9
3,36,11
4,26,13
5,34,16
6,28,13
7,159,1
8,32,10
9,37,11
10,29,16
11,45,10
12,57,4
13,25,14
14,43,7
15,44,12
16,30,8
17,35,6
18,33,10
19,11,10
20,52,6
21,81,1
22,21,9
23,18,12
24,9,2
25,62,5
26,80,3
27,19,14
28,49,8
29,50,5
30,68,1
31,41,9
32,31,11
33,53,6
34,16,8
35,47,5
36,299,1
37,85,1
38,42,7
39,55,5
40,38,8
41,17,11
42,122,1
43,56,3
44,802,1
45,40,11
46,22,12
47,46,6
48,10,5
49,218,1
50,230,1
51,12,4
52,141,1
53,20,12
54,66,2
55,24,11
56,60,2
57,13,7
58,96,3
59,39,9
60,15,10
61,14,5
62,51,8
63,142,1
64,58,2
65,48,3
66,78,1
67,70,3
68,75,3
69,69,2
70,79,1
71,59,5
72,130,1
73,77,1
74,91,1
75,54,4
76,67,2
77,76,1
78,212,1
79,74,1
80,143,1
81,107,1
82,410,1
83,305,1
84,65,2
85,275,1
86,119,1
87,88,1
88,307,1
89,86,1
90,64,1
91,82,2
92,114,1
93,63,2
94,146,1
95,61,1
96,97,2
97,285,1
98,248,1
99,104,1
100,101,1
101,207,1
102,120,1
103,3,1
104,72,2
105,8,1
106,300,1
107,110,1
108,137,1
109,205,1
110,235,1
