,pesna,year_from,year_to,song_name,zbirka_name,podzbirka_name
0,source voice matter normal fall even miracle body basic merit corner lip important slope gaze important flight slomen hand source voice important deprive something deprives order ghost mind web leafless twig willow winter towards gray sky dry black miserable source voice cut,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
1,sight let struggle strength let body suffer let shine vision saw bunch crumbled soon eye see veda shone without eye see would hill without sight easy without mirror difficult without looking,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
2,juruklukot miravci yurukluk seen quiet buoyancy hill hill rise sky bluepale hill purple edge flow traveled many country world india siberia poor flew alp andes without yuruklok seen take look place touch blue sky call longing thought honor revealing deprivation course consciousness beautiful something close hidden,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
3,clean well step step word word slowly yes remember anything brought muse way taught strong word surprising express grief various way still rehearsal way taught connect distant thing give birth frightening thought bridged abyss even preparation step step word word brought withered well soul looking stare inside voice echo hundredfold horror void say final message want gift used wish muse sense ugly lick mash mud bottom well scratch nail stone renounce obedience want die illusion weak man,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
4,according с pushkin god forbid shocked give god squat dry,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
5,help old young look around ready take burden without kimchi free charge help accept life openly naively sense danger faint fallen despair raise head repent perhaps selfless help achieve something future,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
6,like broken spine lying water bridge wave silent mournful flat iron bone,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
7,year father death mother said deceased mourner saw afar white shirt field seemed white flag field field became beautiful mother hour rabbit dream nobody shaken cry one heard except mother lonely rich power vain love,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
8,morning pas every morning house built eye widen sweetly grow soon see rained last night wet scaffolding hang sky washed shine moisture brick breathe young master went upstairs sun grain close clear morning clear sky master listen build house buddy meadow desolate soul something empty dark desolate whatever full noise laughter speech life,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
9,gute funeral gave speech sad music conductor set tomb indifferently locksmith close chapel tiny body exposed one graphic remained visible karadag towards kumanovo long white stripe cloudy weather one withdrawn bold childish hand gute risky wide dying blue,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
10,memory gjore gjore dead year passed apple tree deserted yard whisper forced hold another two three day bloom sorry spring come,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
11,grave happy light candle grave ancestor stop silence specified head see yellow flame walk chamber contact established one stronger man even death hour victory blind man see anything like ipip get knee lubricate cold plate palm hand simply compacted soil straightens winner graf growing storm path weed sight lost fewer fewer know lead dead confirm fidelity renew peace soul,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
12,pensioner first day month autumn morning like rain already pile front post office early excluded fold shoulder light coat mutter something important nose one eye door miss waiting moment soon door open gathering quickly dispersed everyone go postman wait otherwise noon small money left tip grandmother home need bread milk today little green oh macedonian,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
13,epilogue pesjo brdce near prilep marko leading fight day waving seemed sword half enemy half came life pretended two marko saw horseshoe upside drumming beat wind remember one castle got lost somewhere night folk talk fought battle beat day bloody hand shoulder bloody leg knee shrink even examine completely get end even wither like well dry summer remember last wish one see death go early pesky hill angry bull chase devil cat swing left hit right wave crush cut often cross mountain making way evening return get everything put together drank filthy water evil multiplied like weed weeding night age hear evil befalls like muddy water overlap seems everything perishes earth never existed never done anything horse horse upside blow drum wind beat let ghost scare see death one see death alone bride night pregnancy,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
14,columbus saw country first time dawn dream let eye watch first reflection blue distant mountain creepiness creeping wave ribbed paddle fat led without storm tear apart oh beautiful road uncertainty sad back end would even sadder roar country slave persecuted thirsty space went dark memory sink know seen anymore dreamed dream,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
15,small object giant toy trifle souvenir small memory big moment small gift great friend lose suddenly one day magical charm little warm soul become cold piece maybe elm started dry way remember first bear many dry twig,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
16,skopje stand gazibaba offspring hear also saw skopje day spring knitted soft unity fresh roof line every poplar green fountain little overwhelmed eye silent clairvoyant clear know remembered call mine daring hand future spirit hug would say like sharp lightning cut century century shout click roar think,1941,1945,КАМБАНИ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
17,corp first glance turn natural death small cat body stiff leg back forth fully extended closer ground head rested death occurred sure secretive place someone slapped tiny carcass street rubbish bin cat could dog good thing cold morning,1941,1945,КАМБАНИ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
18,full cycle variation song turkish poet fazil hysni daglardza different even four u youth love death three u love death two face face death first held modest place death coming stay end none four,1941,1945,КАМБАНИ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
19,gombrovich diary one sell sweetest apple bitpazar right shout much hold voice apple others cost nothing ashamed afraid third diary also completed wait fourth vain bitpazar among empty stall last laugh sweetest death something moving somehow somewhere forward sly mind,1941,1945,КАМБАНИ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
20,word keep word tightly bound like untrained horse know bite kick wave keep let go way beheaded chair know crazy head wish ride,1941,1945,КАМБАНИ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
21,song vineyard vineyard vodno silent silently sunny afternoon weather quiet grass last feel sorry nice sway halfway wind blow look excited root horror creep u nice spread shadow moon one surprise u scroll shine brighter nice submissive hand vinegrowers prune twig caress shoot produce grape wine nice weird started understand u country getting closer people getting away,1941,1945,КАМБАНИ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
22,flora fauna green wooden box cafe ornamental plant reflected mirror delicate petal unknown name among dwarf fern listed discreetly barely visibly tremble quiet dance send rebuke know tenderness touch roughly lost woman hoarse voice bad english negotiates two big black next table pub meat,1941,1945,КАМБАНИ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
23,separation want ask approach body see alive shadow ghost white become clean disturbing image dream leave alone finger dipping understand division reveals truth mean reality really bother,1941,1945,КАМБАНИ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
24,game several young twisted body worth much eternity charter secretly heard dark sound appeared soul muddy night chase raindrop fall muddy night wander hurry hurry hurry celebrate blood young someone suffer,1941,1945,КАМБАНИ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
25,lawn birth house ivo andri whole city river mountain move story invented soon think unreal u indeed invented childhood show u,1941,1945,КАМБАНИ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
26,afternoon summer scheduled may noon care shadow light divided clearly lined air tremble heat far away nap sun ray go weakened beautiful,1941,1945,КАМБАНИ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
27,division given day love sad parting say forget may never see road blocked downed bridge road hinder u burnt city bullet forehead block way could sad say forget may never see,1941,1945,КАМБАНИ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
28,vangel people sun warms u talking vangela varoshko maalo one like remember two warmth middle water markukule child blackberry ate may heard surprised understood two cannon sometimes someone else vangel planted,1941,1945,КАМБАНИ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
29,thirst secretly despised historical consciousness everything derived appreciated touch different part body ingenuity imagination chill could give feeling given aged deny understanding even still indifferent mine daily destiny memory brings back sometimes thirst withered spring,1941,1945,НОЌНА ПЕСНА,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
30,pursuit koce solunski told song said uncle nikodin yes trajce yes friend krusovo uprising kissed nanny dolneni behind copy smugrevci three stabbed runaway dried nail senokos smoke dust given whole bullock horse make hair stand end fear threesome everything heroically knock u let give karshilak minority therefore rifle forward dug dig yes trajce yes brother,1941,1945,НОЌНА ПЕСНА,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
31,sleeping sick child go sleep darling calm already sick son dream see lamb flower pain sleep pas mother last night take care scared cobweb see yellow spider drinking blood son moon shining star heaven afraid mother awake last night sleep sleep dear,1941,1945,НОЌНА ПЕСНА,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
32,heat today sky blue angel white wing whole flock looking one big glowing casserole enchanted gold middle gold hammer wave swinging,1941,1945,НОЌНА ПЕСНА,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
33,beginning autumn first autumn sign fuzzy shadow road fuzzy flicker ray faint whisper noise vague pity cloud blurred image mind,1941,1945,НОЌНА ПЕСНА,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
35,ruin ruin wall stone green moss every depth yellow lizard host stamen sun indiscriminately rubble truth,1941,1945,НОЌНА ПЕСНА,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
36,sign good news oh miracle today bird top linden tree maybe stopped every day rest wing also give sign good notice far look sky well depressed submissive low ground,1941,1945,НОЌНА ПЕСНА,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
37,song rarely anyone come completely forgotten traveler vacation embracing ivy reveals tombstone random intent leaf word sense hidden meaning bear witness,1941,1945,НОЌНА ПЕСНА,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
38,night song want go alone strange night welcome shower star murmur moonlight make drunk deep thought hidden thought chest rise raise eye strange song echoed night swallow hour stellar eternity pass make beautiful want see want know let song carry surround sky dark blue everything whisper cricket whisper sad memory caress think world want sorry suffocates unfortunately everything deafening,1941,1945,НОЌНА ПЕСНА,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
39,still somehow connected raw rock heap stone bell hear awful call shut front durability understand side world wherever granite character memory get,1941,1945,НОЌНА ПЕСНА,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
40,prayer girl carried away pray dead evening know oh sweet sorrow far dark road sick pray character dream stole rejoicing clear rejoicing clear black trouble give black trouble buzz music heart infinite breadth instead song enters heart frozen voiceless peace get lost extinguished love bloody world morning sick man wake garvan flock flight,1941,1945,НОЌНА ПЕСНА,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
41,thirst feel see one know know vile thirst say thirsty move stellar landscape say,1941,1945,НОЌНА ПЕСНА,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
42,cage thirty year done thirty broken tie child closed cage wrinkle,1941,1945,НОЌНА ПЕСНА,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
43,manuscript first butterfly spring white spot along sky blue among young foliage linden apricot note white verse love love,1941,1945,НОЌНА ПЕСНА,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
44,song life dog barked muddy everything bother dark fiery bloody weather everything naked tortured carcass hammer one one baboon head break andandandand breathless coming forward give eager bite,1941,1945,НОЌНА ПЕСНА,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
45,beautiful woman beautiful woman nation blossomed quickly like apricot blossom like may lilac oh injustice belonged unelected men hair tangled day night dissolved chest hip quail action soon stabbed girl youth passing like smell linden blow away wind soon sitting gate bowed head protruding knee inaudible exhalation beautiful woman unhappy woman blossomed quickly like apricot blossom like may lilac,1941,1945,НОЌНА ПЕСНА,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
