,pesna,year_from,year_to,song_name,zbirka_name,podzbirka_name
0,the source of your voice it does not matter what the normal fall even the miracles of the body are not a basic merit the corners of your lips are more important to me the slope of your gaze is important and the flight slomen on the hands the source of your voice is the most important of all but you deprive me or something deprives me of it all in order and it s all just a ghost in my mind as a web of leafless twigs of willow winter towards the gray sky is all that so dry so black so miserable the source of your voice is cut off for me,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
1,the sight let her struggle with strength and let this body suffer just let it shine on me the vision saw what if the bunch crumbled as soon as the eyes do not see it what if veda shone without an eye to see her what would be the hill without sight it s easy without a mirror but it is difficult without looking,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
2,juruklukot from miravci yurukluk can be seen with quiet buoyancy a hill above a hill rises and the sky bluepale with those hills a purple edge flows down i have traveled many countries in the world in india and siberia i am poor i flew over the alps and the andes but without my yuruklok being seen and to take a look at those places once to touch the blue sky above them calls me longing and a thought of honor but why that revealing deprivation of course consciousness is more beautiful to have something close that is hidden,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
3,above the clean well step by step and word by word slowly yes i do not remember anything you brought me here muse by the way he taught me with a strong word which is surprising to express grief in various ways but it was still just a rehearsal by the way he taught me how to connect distant things to give birth to a frightening thought over bridged abyss but even that was just preparation and so step by step and word by word brought me here over the withered well in my soul and you are looking for to stare inside and with a voice that echoes a hundredfold out of horror in that void to say your final messages but i do not want such a gift from you nor to be used as you wish muse i sense that an ugly lick mash in the mud at the bottom of the well scratches with nails on the stone i renounce your obedience i want to die with all illusions of a weak man,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
4,according to a с pushkin god forbid that i should be shocked give me god to squat to dry,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
5,help so old and young i look around ready to take on the burden without kimchi free of charge just to help me they accept life so openly and naively no sense of danger and i faint again and i have fallen into despair raise your head repent perhaps with that selfless help and you achieve something for the future,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
6,like a broken spine lying on the water bridge the wave is silent and mournful flat iron bones,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
7,before the year of the father s death my mother just said this about the deceased as a mourner when i saw him from afar in a white shirt in our fields it seemed to me a white flag all over our fields with him my field became beautiful mother this hour rabbit in a dream nobody was shaken by that cry no one heard it except myself my mother we are so lonely rich only in the power of vain love,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
8,morning i pass every morning where the house is built eyes widen sweetly grow up as soon as i see him it rained last night wet scaffolding hangs the sky washed shines and moisture bricks breathe a young master went upstairs the sun grains close to him how clear this morning how clear the sky is master listen to me i do you build the house buddy not on the meadow desolate but in my soul and something in it empty dark and desolate whatever now full of noise with laughter speech and life,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
9,gute s funeral they gave speeches and with sad music the conductor set off to the tomb indifferently the locksmith close the chapel in which the tiny body was exposed then only one graphic remained visible above karadag towards kumanovo a few long white stripes from cloudy weather one below the other withdrawn with a bold childish hand of gute risky and wide before dying after the blue,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
10,memory of gjore gjore is dead a year has passed the apple tree in his deserted yard you whisper i was forced to hold on for another two or three days not to bloom sorry for him then spring will come to me,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
