,pesna,year_from,year_to,song_name,zbirka_name,podzbirka_name
0,source voice matter normal fall even miracles body basic merit corners lips important slope gaze important flight slomen hands source voice important deprive something deprives order ghost mind web leafless twigs willow winter towards gray sky dry black miserable source voice cut,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
1,sight let struggle strength let body suffer let shine vision saw bunch crumbled soon eyes see veda shone without eye see would hill without sight easy without mirror difficult without looking,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
2,juruklukot miravci yurukluk seen quiet buoyancy hill hill rises sky bluepale hills purple edge flows traveled many countries world india siberia poor flew alps andes without yuruklok seen take look places touch blue sky calls longing thought honor revealing deprivation course consciousness beautiful something close hidden,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
3,clean well step step word word slowly yes remember anything brought muse way taught strong word surprising express grief various ways still rehearsal way taught connect distant things give birth frightening thought bridged abyss even preparation step step word word brought withered well soul looking stare inside voice echoes hundredfold horror void say final messages want gift used wish muse sense ugly lick mash mud bottom well scratches nails stone renounce obedience want die illusions weak man,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
4,according с pushkin god forbid shocked give god squat dry,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
5,help old young look around ready take burden without kimchi free charge help accept life openly naively sense danger faint fallen despair raise head repent perhaps selfless help achieve something future,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
6,like broken spine lying water bridge wave silent mournful flat iron bones,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
7,year father death mother said deceased mourner saw afar white shirt fields seemed white flag fields field became beautiful mother hour rabbit dream nobody shaken cry one heard except mother lonely rich power vain love,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
8,morning pass every morning house built eyes widen sweetly grow soon see rained last night wet scaffolding hangs sky washed shines moisture bricks breathe young master went upstairs sun grains close clear morning clear sky master listen build house buddy meadow desolate soul something empty dark desolate whatever full noise laughter speech life,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
9,gute funeral gave speeches sad music conductor set tomb indifferently locksmith close chapel tiny body exposed one graphic remained visible karadag towards kumanovo long white stripes cloudy weather one withdrawn bold childish hand gute risky wide dying blue,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
10,memory gjore gjore dead year passed apple tree deserted yard whisper forced hold another two three days bloom sorry spring come,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
11,grave happy light candle grave ancestors stops silence specified head sees yellow flame walk chamber contact established one stronger man even death hour victory blind man see anything like ipip get knees lubricate cold plate palm hand simply compacted soil straightens winner graves growing storm paths weed sights lost fewer fewer know lead dead confirm fidelity renew peace soul,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
12,pensioners first day month autumn morning like rain already pile front post office early excluded fold shoulders light coat mutter something important noses one eye door miss waiting moment soon door opens gathering quickly dispersed everyone goes postman wait otherwise noon small money left tip grandmothers home need bread milk today little green oh macedonian,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
13,epilogue pesjo brdce near prilep marko leading fight days waving seemed sword halves enemy halves came life pretended two marko saw horseshoe upside drumming beat wind remember one castle got lost somewhere night folk talk fought battle beat days bloody hands shoulders bloody legs knees shrink even examine completely get end even wither like well dries summer remember last wish one sees death go early pesky hill angry bulls chase devil cat swing left hit right wave crush cut often cross mountain making way evening return get everything put together drank filthy water evil multiplied like weed weeding night age hear evil befalls like muddy water overlaps seems everything perishes earth never existed never done anything horse horse upside blow drums wind beat let ghost scare see death one sees death alone bride night pregnancy,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
14,columbus saw country first time dawn dream let eyes watch first reflection blue distant mountains creepiness creeping waves ribbed paddle fat led without storms tear apart oh beautiful road uncertainty sad back end would even sadder roar country slave persecuted thirsty space went dark memory sinks know seen anymore dreamed dream,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
15,small objects giants toys trifles souvenirs small memories big moments small gifts great friends lose suddenly one day magical charm little warm soul become cold pieces maybe elm started dry way remember first bears many dry twigs,1941,1945,ПЕСНА ЗА ЖИВОТОТ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
16,skopje stand gazibaba offspring hear also saw skopje day spring knitted soft unity fresh roof lines every poplar green fountain little overwhelmed eyes silent clairvoyant clear know remembered call mine daring hand future spirit hug would say like sharp lightning cut century century shouts clicks roars think,1941,1945,КАМБАНИ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
17,corps first glance turns natural death small cat body stiff legs back forth fully extended closer ground head rested death occurred sure secretive place someone slapped tiny carcass street rubbish bins cat could dog good thing cold morning,1941,1945,КАМБАНИ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
18,full cycle variation song turkish poet fazil hysni daglardza different even four us youth love death three us love death two face face death first held modest place death coming stay end none four,1941,1945,КАМБАНИ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
19,gombrovich diary one sells sweetest apples bitpazar right shout much holds voice apples others cost nothing ashamed afraid third diary also completed wait fourth vain bitpazar among empty stalls last laughs sweetest death something moving somehow somewhere forward sly mind,1941,1945,КАМБАНИ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
20,word keep word tightly bound like untrained horse know bite kick wave keep let go way beheaded chairs knows crazy head wish ride,1941,1945,КАМБАНИ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
21,song vineyards vineyards vodno silent silently sunny afternoon weather quiet grass lasts feel sorry nice sway halfway wind blows look excited root horror creeps us nice spread shadows moon one surprise us scrolls shine brighter nice submissive hands vinegrowers prune twigs caress shoots produce grapes wine nice weird started understand us country getting closer people getting away,1941,1945,КАМБАНИ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
22,flora fauna green wooden boxes cafe ornamental plants reflected mirrors delicate petals unknown names among dwarf fern listed discreetly barely visibly tremble quiet dance send rebuke know tenderness touch roughly lost woman hoarse voice bad english negotiates two big blacks next table pub meat,1941,1945,КАМБАНИ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
23,separation want ask approaches body see alive shadow ghost white become clean disturbing image dream leave alone fingers dipping understand division reveals truth means reality really bothers,1941,1945,КАМБАНИ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
24,game several young twisted bodies worth much eternity charter secretly heard dark sound appeared soul muddy night chases raindrops fall muddy night wander hurry hurry hurry celebrate blood young someone suffer,1941,1945,КАМБАНИ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
25,lawn birth house ivo andri whole city river mountains moves story invented soon think unreal us indeed invented childhood show us,1941,1945,КАМБАНИ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
26,afternoon summer scheduled may noon care shadow light divided clearly lined air tremble heat far away nap sun rays go weakened beautiful,1941,1945,КАМБАНИ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
27,division given day love sad parting say forget may never see road blocked downed bridge road hinder us burnt city bullet forehead block way could sad say forget may never see,1941,1945,КАМБАНИ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
28,vangel people sun warms us talking vangela varoshko maalo one like remember two warmths middle water markukule child blackberries ate may heard surprised understood two cannons sometimes someone else vangel planted,1941,1945,КАМБАНИ,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
29,thirst secretly despised historical consciousness everything derived appreciated touch different parts body ingenuity imagination chills could give feeling given aged deny understanding even still indifferent mine daily destiny memory brings back sometimes thirst withered springs,1941,1945,НОЌНА ПЕСНА,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
30,pursuit koce solunski told song said uncle nikodin yes trajce yes friend krusovo uprising kissed nanny dolneni behind copies smugrevci three stabbed runaways dried nail senokos smoke dust given whole bullock horses make hair stand end fear threesome everything heroically knocks us let give karshilak minority therefore rifles forward dug dig yes trajce yes brother,1941,1945,НОЌНА ПЕСНА,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
31,sleeping sick child go sleep darling calm already sick son dream see lamb flowers pain sleep pass mother last night take care scared cobweb see yellow spider drinking blood son moon shining stars heavens afraid mother awake last night sleep sleep dear,1941,1945,НОЌНА ПЕСНА,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
32,heat today sky blue angels white wings whole flock looking one big glowing casserole enchanted gold middle gold hammers wave swinging,1941,1945,НОЌНА ПЕСНА,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
33,beginning autumn first autumn signs fuzzy shadows road fuzzy flicker rays faint whisper noise vague pity clouds blurred images mind,1941,1945,НОЌНА ПЕСНА,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
35,ruins ruins wall stone green moss every depth yellow lizard host stamen sun indiscriminately rubble truth,1941,1945,НОЌНА ПЕСНА,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
36,sign good news oh miracle today bird top linden tree maybe stopped every day rest wings also give sign good notice far look sky well depressed submissive low ground,1941,1945,НОЌНА ПЕСНА,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
37,songs rarely anyone come completely forgotten traveler vacation embracing ivy reveals tombstone random intent leaves words sense hidden meaning bear witness,1941,1945,НОЌНА ПЕСНА,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
38,night song want go alone strange night welcomes showers stars murmur moonlight makes drunk deep thought hidden thought chest rises raise eyes strange song echoed night swallows hour stellar eternity passes make beautiful want see want know let song carry surround sky dark blue everything whispers crickets whispers sad memory caresses think world want sorry suffocates unfortunately everything deafening,1941,1945,НОЌНА ПЕСНА,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
39,still somehow connected raw rock heap stone bell hear awful call shut front durability understand sides world wherever granite character memory get,1941,1945,НОЌНА ПЕСНА,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
40,prayer girl carried away pray dead evenings know oh sweet sorrow far dark road sick pray character dream stole rejoicing clear rejoicing clear black trouble give black trouble buzz music heart infinite breadth instead song enters heart frozen voiceless peace get lost extinguished love bloody world morning sick man wakes garvan flock flight,1941,1945,НОЌНА ПЕСНА,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
41,thirst feel see one knows know vile thirst say thirsty move stellar landscape say,1941,1945,НОЌНА ПЕСНА,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
42,cage thirty years done thirty broken ties child closed cage wrinkles,1941,1945,НОЌНА ПЕСНА,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
43,manuscript first butterfly spring white spots along sky blue among young foliage lindens apricots notes white verses love love,1941,1945,НОЌНА ПЕСНА,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
44,song life dogs barked muddy everything bothers dark fiery bloody weather everything naked tortured carcass hammer one one baboon heads break andandandand breathless coming forward give eager bite,1941,1945,НОЌНА ПЕСНА,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
45,beautiful women beautiful women nation blossomed quickly like apricot blossom like may lilac oh injustice belonged unelected men hair tangled day night dissolved chest hips quail action soon stabbed girl youth passing like smell linden blows away wind soon sitting gate bowed head protruding knees inaudible exhalation beautiful women unhappy women blossomed quickly like apricot blossom like may lilac,1941,1945,НОЌНА ПЕСНА,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
46,dog dog knew well neighbor neighbor caressed many times waving tail big handsome pure albino white dog happened foggy morning attack fierce barking stripping dazzling dogs absorbed skin much evil pass night rage become even another unknown person friend dog,1941,1945,НОЌНА ПЕСНА,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
47,division quiet blue scarf gleam black instant eyes still division final ah still coincidence everything black veda heart ankle solitary oak,1941,1945,НОЌНА ПЕСНА,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
48,selfcreation thus mutual minor detentions show sure go undetected build day day even years better part like harsh winter unexpectedly truth comes remains hang air little bit ghostly personal building illusion shattered late reinvent,1941,1945,НОЌНА ПЕСНА,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
49,calendar like ancient starfish staring faithfully night depths sky dark attractive secret eternal unfaithful trembling hearts declare love reduced attaching importance calendar arbitrary deceptive place greatness torn memories even contempt hatred imaginary holidays awaken us,1941,1945,НОЌНА ПЕСНА,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
50,saint nicola saint nicholas golden bring everything need welcomed lean sarma beans onion fish like used eve holiday would find deceased would sit around table started chickpeas brine peppers appetizers homemade brandy dinner commons go stories guests went bed ordan uncle may god forgive pcalt would sing dream lord mercy night fell silent passed passed still fuck live lord ahead tribe fruitful,1941,1945,НОЌНА ПЕСНА,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
51,memory celebration hour would last memory would see cherry slavej carpet ores golden overlay thousand colors would mention trembling sting would walk lightly almost set floral bow flowers girl dance flowers tiny twists face mountain like whale hour back look would would see struga blue fog top cherished catch oh lake send greetings,1941,1945,НОЌНА ПЕСНА,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
52,girls love gently shaded face shadow translucent leaves falling face lengthens imperceptibly eyes enlarged pensive wet afraid every side surprise tilt foreheads lightly touch lips loved one seem like butterfly wings standing grass moment flying away grass bends shoot hands arms desperately bold blind inevitable like oars shaky sea involuntarily close eyes god ever really experienced,1941,1945,РАЗДЕЛБА,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
53,difficult oh difficult surli soon scream wildly soon drum thunders underground echo breasts sadly angry squeezes eyes river flows feel like crying like child fold arms cover face bite lips tighten heart damn let shout oh difficult old men coming thought foreheads moisture eyes first step soft grass calm slow restrained sadness drum breaks scream rises lightning flashes every sight goes forward shoots pours tight order old men jump old men last heart gray falcon cell could stand flame alive eye could stand youth wants fly got lost dancing ground turned seems stressed century coming end around stagnant hills dark return ek stunt dance started primordial power country forests rivers word wild terrible wind ripe grains whisper evening odor wafts quietly earth breathes spring satiety burning breath soul seems genus tormented difficult dance everything lost century century accumulated everything discounted gloomy bloody pain prison woe century century descended hard thought joyful child free world song love dies scream like crane flight oh difficult look silence fog hits eyes sura suddenly order stretches endlessly hills lost desolate wasteland comes murky fog everything shadow shadow everything endless dance son goes father grandfather nephew dark times field whistle shackles rattle heads go straight everything step step times family passed away dark word find passion word find horror zinat desolation blood number tell angry wounds blazing nights brown ashes arrange pains heart gathered tears eyes curses mouth oh difficult chain slave girls brides hands tied prey carried bully cursed oh difficult chain slave became people leafy mountain even misery centuries gathered lead lush rebellious dance dance ran blood fire call heard thunder smoke rebellious leg blew everywhere birth floor oh difficult villages freedom first time meet dance strange tear flow hot strange complaint remember heart centuries slavery people go carry hands gift gold song wheat bran fruitful life,1941,1945,РАЗДЕЛБА,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
54,turtledove voice longer meaningful used mercilessly hurts hearing soul sick temple one swollen vein lost absent joint urge real excitement unhealthy horror judgment vote longer relevant owl foretells march mornings yard,1941,1945,РАЗДЕЛБА,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
55,beauty deity left flaws twisted posture straight lines soft black look even got older color received summer sun sunburn fine sand sea look even like perfect bronze bust mercury one careful deity give fertility even greater beauty born new elena due may erupt new trojan war could deity deceived make mistake,1941,1945,РАЗДЕЛБА,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
56,success vladimir moshin june tiny bell st demetrius unrecognized church sings unrecognized saint joy god alone send vladimir moshin even petrograd finally got back us despising pharisees lieutenant oh professor stavrofore coincidence become friends old friend confused send,1941,1945,РАЗДЕЛБА,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
57,peppers prilep celebrated peppers heaps market eat salads pans keep pickles winter alive angry mild man finds cure salt pepper strengthened strength pinjur century beautiful autumn come charms rows pepper hid every home verandas decorated ruined patterns house beloved bride us ancient times beauty strength created,1941,1945,РАЗДЕЛБА,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
58,protection much harder young people us somehow looked like waiting release life ask understanding nonsense yet stop life still protect us extent determined love,1941,1945,РАЗДЕЛБА,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
59,rural road path narrow crooked thread like thread needle memory leads kamenici reached fountain sokole blunted desolate turkish passed path way sivec already seen nebregovo,1941,1945,РАЗДЕЛБА,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
60,blink hearth one fire burning crumb crumb ash rubbed oh predictable hand exactly last moment raised feel heat,1941,1945,РАЗДЕЛБА,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
61,inevitable see blossoming flower released two three petals stated blue head orphan unnecessary anyone step nothing else show respect inevitable,1941,1945,РАЗДЕЛБА,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
62,turtledove beautiful around everything even two even two goog fly summer crow work another want think want know alone alone,1941,1945,РАЗДЕЛБА,ОД СТАРИОТ НОТЕС (1941‡1945),ОД СТАРИОТ НОТЕС (1941‡1945)
