,sentence,year_from,year_to
0,песна за животот,1941,1945
1,како лаеле пците,1941,1945
2,како било кално,1941,1945
3,сето ме наваса сега,1941,1945
4,во темничиштево пално,1941,1945
5,крваво време,1941,1945
6,сето си,1941,1945
7,гола измачена мрша,1941,1945
8,со чекан една по една,1941,1945
9,глави бабуњави кршат,1941,1945
10,ииии,1941,1945
11,задишени,1941,1945
12,напред вјасаме,1941,1945
13,не се даваме,1941,1945
14,настрвени,1941,1945
15,ќе касаме,1941,1945
16,камбани,1941,1945
17,попусто ближен бараше,1941,1945
18,срцето желно прежелно,1941,1945
19,самотник одам некаде,1941,1945
20,заслушан в темен шум,1941,1945
21,срамотно му е некому,1941,1945
22,еденздруг да се смислиме,1941,1945
23,еден за друг да најдеме,1941,1945
24,најискрен добор збор,1941,1945
25,загина сешто невратно,1941,1945
26,самотно што сум сонувал,1941,1945
27,остана само навреда,1941,1945
28,на срце горок жал,1941,1945
29,ноќна песна,1941,1945
30,јас сакам сам да одам,1941,1945
31,чудно ноќта ме пречекува,1941,1945
32,со ѕвезди ме опсипува,1941,1945
33,жуберка месечинска светлина,1941,1945
34,ме опијанува,1941,1945
35,длабока мисла скриена мисла,1941,1945
36,од гради станува,1941,1945
37,и кревам очи чудна песна екна,1941,1945
38,ноќта ме усинува,1941,1945
39,да бидеш тука тука не час,1941,1945
40,ѕвездена вечност поминува,1941,1945
41,да бидеш тука,1941,1945
42,од сите ќе те сторам најубава,1941,1945
43,нејќам да видам нејќам да знам,1941,1945
44,песната само нека ме носи,1941,1945
45,да ме окрилува,1941,1945
46,се лула небо темносино,1941,1945
47,сешто шепина штурка пригласува,1941,1945
48,жален спомен ме милува,1941,1945
49,дека ти мислам најарно на светов,1941,1945
50,а ти ме нејќеш жал ме задушува,1941,1945
51,жал сè заглушува,1941,1945
52,разделба,1941,1945
53,нам ни е дадено за ден да сакаме,1941,1945
54,и пак на разделба тажни да бидеме,1941,1945
55,и пак си велиме не заборавај ме,1941,1945
56,а може никогаш да не се видиме,1941,1945
57,пат ќе ни препречат мостој соборени,1941,1945
58,пат ќе ни препречат градој изгорени,1941,1945
59,пат ќе ни препречи куршумот в чело,1941,1945
60,и пак сме можеле тажни да бидеме,1941,1945
61,и пак си велиме не заборавај ме,1941,1945
62,а може никогаш да не се видиме,1941,1945
63,закопна песна,1941,1945
64,старице збогум ти една мене,1941,1945
65,цел живот дете ме познáше,1941,1945
66,таговно сега клепало клепа,1941,1945
67,носилка трга низ село наше,1941,1945
68,нема да дојдам не пуштив солза не ми е жал,1941,1945
69,ден за ден така нè скрија дните,1941,1945
70,а еднаш од тебе дете оџарено пупунче мало,1941,1945
71,чув прва сказна за пупунците,1941,1945
72,збогум почини в сурова земја,1941,1945
73,не ќе се штрекнеш ноќе од тага,1941,1945
74,ни вик ќе чуеш ниту ќе видиш,1941,1945
75,крвава рана на синова снага,1941,1945
76,старата,1941,1945
77,старата запира до темната порта,1941,1945
78,не се слуша страшливо се обѕира,1941,1945
79,сè се чини некој се подбива,1941,1945
80,старата запира до темната порта,1941,1945
81,не се види рано на ругузина се свиткува,1941,1945
82,на сон оддалеку со мртвите се надвикува,1941,1945
83,песната за затворницата,1941,1945
84,еден темен вик ме буди,1941,1945
85,пак страшниот дошол час,1941,1945
86,тука тишти души студи,1941,1945
87,а немошна лежам јас,1941,1945
88,пак е ноќна доба кобна,1941,1945
89,се кикоти некој в трем,1941,1945
