,words,count
0,the,3186
1,and,1936
2,a,1586
3,to,1539
4,in,1251
5,i,1032
6,of,990
7,is,741
8,you,704
9,that,631
10,with,625
11,it,590
12,for,513
13,not,512
14,on,433
15,my,421
16,are,385
17,he,381
18,from,365
19,as,335
20,will,315
21,they,290
22,me,281
23,like,279
24,was,276
25,be,250
26,how,246
27,your,246
28,what,240
29,but,224
30,we,221
31,at,204
32,do,181
33,have,179
34,so,174
35,when,173
36,his,166
37,if,161
38,this,159
39,only,158
40,even,156
41,all,154
42,our,148
43,which,142
44,she,137
45,no,137
46,by,133
47,one,132
48,now,129
49,him,127
50,who,127
51,can,119
52,everything,118
53,their,117
54,her,116
55,there,114
56,them,113
57,an,111
58,after,110
59,life,99
60,see,99
61,has,96
62,night,94
63,then,91
64,would,88
65,just,87
66,why,86
67,where,86
68,still,85
69,us,84
70,know,84
71,heart,81
72,before,81
73,dark,80
74,here,80
75,through,79
76,first,79
77,over,79
78,did,78
79,up,78
80,song,77
81,old,76
82,under,76
83,were,76
84,love,74
85,go,72
86,already,70
87,remember,70
88,out,70
89,those,68
90,again,67
91,into,67
92,word,67
93,soul,65
94,without,65
95,white,65
96,sun,64
97,two,62
98,about,61
99,some,61
100,water,60
101,such,60
102,oh,60
103,thought,59
104,time,59
105,let,58
106,day,58
107,am,58
108,look,57
109,give,56
110,more,56
111,other,55
112,its,55
113,last,53
114,blue,53
115,does,53
116,want,52
117,something,52
118,memory,51
119,or,50
120,think,49
121,dream,49
122,because,49
123,had,49
124,eyes,48
125,each,47
126,clear,46
127,cold,46
128,hour,45
129,little,45
130,down,45
131,every,45
132,front,45
133,come,45
134,take,44
135,young,44
136,people,43
137,small,43
138,most,42
139,man,42
140,long,41
141,quiet,41
142,much,41
143,left,40
144,hands,40
145,light,40
146,lake,40
147,get,39
148,spring,39
149,noise,39
150,been,38
151,same,38
152,make,37
153,sky,37
154,end,37
155,above,37
156,could,36
157,many,36
158,sad,35
159,strength,35
160,tell,35
161,whole,35
162,voice,35
163,right,35
164,hand,34
165,calm,34
166,any,34
167,once,33
168,hear,33
169,mother,33
170,goes,32
171,century,32
172,waiting,32
173,nothing,32
174,sweet,31
175,three,31
176,back,31
177,least,31
178,alone,30
179,nor,30
180,around,30
181,son,30
182,death,30
183,soon,30
184,lost,30
185,children,30
186,should,30
187,someone,29
188,shadow,29
189,wind,29
190,heard,28
191,find,28
192,strange,28
193,say,28
194,child,28
195,came,28
196,feel,28
197,whisper,28
198,black,28
199,close,28
200,far,28
201,seems,27
202,own,27
203,evening,27
204,darkness,27
205,hearts,27
206,autumn,27
207,living,27
208,may,26
209,new,26
210,pain,26
211,red,26
212,away,26
213,touch,26
214,dead,25
215,fell,25
216,become,25
217,secret,25
218,o,25
219,among,25
220,completely,25
221,youth,24
222,went,24
223,soft,24
224,stand,24
225,until,24
226,mountain,24
227,both,24
228,angry,23
