,words_in_pesna,count
0,42,10
1,31,19
2,46,6
3,77,1
4,10,10
5,12,5
6,35,7
7,53,6
8,38,12
9,21,16
10,59,4
11,55,6
12,135,1
13,51,7
14,37,10
15,47,7
16,34,13
17,40,9
18,23,12
19,57,4
20,44,8
21,27,14
22,22,17
23,20,13
24,16,10
25,29,10
26,14,11
27,11,9
28,19,15
29,28,12
30,62,2
31,56,3
32,304,1
33,24,17
34,25,14
35,18,12
36,48,6
37,17,9
38,15,11
39,50,7
40,32,11
41,45,7
42,84,2
43,213,1
44,33,10
45,43,8
46,65,4
47,41,8
48,79,1
49,89,2
50,70,1
51,284,1
52,90,1
53,30,11
54,64,1
55,235,1
56,8,2
57,63,1
58,52,4
59,137,1
60,218,1
61,68,3
62,756,1
63,93,1
64,95,1
65,378,1
66,145,1
67,61,2
68,99,1
69,26,5
70,288,1
71,206,1
72,67,2
73,73,1
74,130,1
75,39,6
76,81,1
77,36,7
78,129,1
79,115,2
80,72,1
81,60,2
82,96,1
83,109,1
84,13,5
85,140,1
86,71,2
87,80,1
88,100,1
89,49,4
90,69,1
91,289,1
92,105,1
93,260,1
94,3,1
95,106,1
96,262,1
97,196,1
98,66,1
99,199,1
100,9,2
101,204,1
102,76,1
103,75,1
104,74,1
105,88,1
106,136,1
107,113,1
